time	sternoclavicular_r1	sternoclavicular_r2	sternoclavicular_r3	Acromioclavicular_r1	Acromioclavicular_r2	Acromioclavicular_r3	shoulder_plane	shoulder_ele	shoulder_rotation	elbow_flexion	pro_sup
0	-14.68646421	-5.74013577	0	0.651232232	5.83759674	11.65881767	-79.60021404	3.663516861	82.852574	8.889628478	18.57703727
0.02	-14.67680937	-5.746754471	0	0.629411017	5.809043934	11.69011117	-79.67629182	3.696082835	82.94719681	8.859265319	18.50659525
0.04	-14.67326207	-5.748665999	0	0.615450863	5.781179609	11.72381854	-79.73391054	3.756873293	83.01335051	8.831312915	18.44455511
0.06	-14.67585407	-5.745841474	0	0.609418724	5.754094999	11.75994193	-79.77267495	3.845481367	83.05059975	8.805949892	18.39065316
0.08	-14.68456238	-5.738262002	0	0.611343809	5.727860983	11.79848369	-79.79239587	3.961355373	83.05874003	8.7833275	18.34467161
0.1	-14.69933945	-5.725906619	0	0.621247123	5.702529204	11.83945374	-79.79307014	4.103920524	83.03777369	8.763563409	18.30648274
0.12	-14.72021651	-5.708699307	0	0.639227858	5.678136396	11.88291518	-79.7747365	4.272893685	82.98769919	8.746741805	18.27619382
0.14	-14.74687016	-5.68669841	0	0.665099625	5.654668735	11.92889342	-79.73802803	4.467108839	82.90945045	8.733080674	18.25334935
0.16	-14.77903532	-5.659932334	0	0.698709918	5.632110062	11.9773748	-79.68352541	4.68540477	82.80386884	8.72248032	18.23786251
0.18	-14.81659529	-5.628209863	0	0.740051165	5.610473065	12.02833546	-79.61187822	4.926920871	82.67167708	8.714516839	18.22989943
0.2	-14.85912047	-5.591774131	0	0.788800437	5.58974207	12.0817764	-79.52404482	5.190087173	82.51433528	8.709235155	18.22915247
0.22	-14.90636406	-5.550643622	0	0.844818712	5.569899945	12.13776046	-79.4209814	5.473889671	82.33313977	8.706500883	18.23540604
0.24	-14.9578593	-5.504953516	0	0.907750933	5.550937147	12.19619976	-79.30410128	5.776463957	82.13007511	8.70610245	18.24792152
0.26	-15.01330095	-5.454758693	0	0.977377211	5.532844879	12.25708826	-79.17472979	6.096463135	81.90691198	8.707837545	18.26616666
0.28	-15.07240925	-5.400063677	0	1.053542845	5.515579879	12.32048055	-79.0343046	6.432654374	81.6654651	8.711621493	18.28958009
0.3	-15.13491308	-5.34097336	0	1.135940766	5.49917214	12.38636945	-78.88411418	6.783710883	81.40764463	8.716999864	18.31774479
0.32	-15.20052168	-5.277582182	0	1.224277029	5.483610112	12.45480269	-78.7256746	7.148315478	81.1355517	8.723749907	18.35003996
0.34	-15.26897024	-5.209915152	0	1.318324707	5.468946701	12.52573753	-78.56091568	7.524972196	80.85164709	8.731648178	18.38580603
0.36	-15.3398426	-5.138274176	0	1.417594854	5.455138269	12.5991332	-78.39145753	7.912053093	80.5583132	8.740540749	18.42415984
0.38	-15.41282672	-5.062844601	0	1.521708264	5.442155405	12.67498668	-78.21910985	8.308193955	80.25802964	8.750261543	18.46433009
0.4	-15.48771196	-4.983664111	0	1.630413491	5.42990236	12.75349129	-78.04548156	8.712425748	79.95299766	8.760613251	18.50607232
0.42	-15.56419321	-4.90094057	0	1.743310543	5.418350745	12.83460723	-77.87239817	9.123369392	79.64567914	8.771451097	18.54893111
0.44	-15.64197921	-4.814923218	0	1.859985502	5.407479073	12.91821713	-77.70174739	9.539663314	79.33852532	8.782730875	18.59257924
0.46	-15.72085159	-4.725768865	0	1.980143049	5.397232152	13.00431421	-77.53517816	9.960274955	79.03363795	8.794433498	18.63695222
0.48	-15.80061694	-4.633625903	0	2.10351879	5.387556282	13.09288039	-77.37422731	10.38425709	78.73294148	8.806578389	18.68206958
0.5	-15.8812587	-4.538442272	0	2.230123479	5.378408384	13.1841964	-77.22027911	10.8112155	78.43813956	8.819336238	18.72838479
0.52	-15.96250508	-4.440486387	0	2.359587692	5.369741468	13.27800548	-77.07458868	11.23994719	78.15078312	8.832722712	18.77569397
0.54	-16.04412235	-4.339929471	0	2.491671664	5.361526404	13.3740876	-76.9381061	11.66949081	77.87200661	8.846688479	18.82391662
0.56	-16.12608	-4.236927164	0	2.626201434	5.353757836	13.47237914	-76.81171027	12.09949015	77.60295899	8.86152106	18.87285032
0.58	-16.20829721	-4.131602162	0	2.763051174	5.346437298	13.57276239	-76.69593883	12.52950378	77.34437331	8.877378056	18.92233866
0.6	-16.29081239	-4.023925501	0	2.902232581	5.339532416	13.67541841	-76.59089715	12.95962217	77.09656566	8.894465678	18.97243488
0.62	-16.37349656	-3.914153957	0	3.043550518	5.333128786	13.77991247	-76.49684166	13.38911614	76.85989906	8.912949581	19.02274103
0.64	-16.45632025	-3.802426498	0	3.186911355	5.327277711	13.88604994	-76.41362255	13.81772878	76.63434501	8.933016183	19.07308024
0.66	-16.53924667	-3.688846705	0	3.332330278	5.322088586	13.9936218	-76.34094374	14.24515017	76.41970402	8.954927988	19.12339515
0.68	-16.62230985	-3.57355677	0	3.479677097	5.317579627	14.10249751	-76.27826349	14.6714041	76.21559934	8.978837377	19.17335754
0.7	-16.70564592	-3.456561844	0	3.628910376	5.313720038	14.21286976	-76.22487472	15.09681137	76.02149287	9.004874477	19.22287394
0.72	-16.78918615	-3.33814795	0	3.779839745	5.31059388	14.32430562	-76.18055154	15.52096861	75.83727786	9.033102417	19.27148614
0.74	-16.87298767	-3.218459251	0	3.932384147	5.308247976	14.43668669	-76.14429439	15.94386502	75.66208985	9.063546698	19.31918841
0.76	-16.95712918	-3.097625977	0	4.086474356	5.30673201	14.54991915	-76.11510203	16.36550614	75.49509689	9.096193552	19.36594635
0.78	-17.04172168	-2.975740796	0	4.242056569	5.306098956	14.66399789	-76.09198408	16.78594493	75.33552237	9.131015705	19.41164409
0.8	-17.12692108	-2.852855066	0	4.399079186	5.306417194	14.77905317	-76.07395477	17.20526824	75.18266121	9.167989828	19.45606259
0.82	-17.21280071	-2.729198487	0	4.557415494	5.307716771	14.89479697	-76.06036778	17.62318293	75.03614719	9.207074584	19.49889271
0.84	-17.2994711	-2.604885129	0	4.716918488	5.310001902	15.01123805	-76.05047253	18.03968984	74.89542548	9.24814182	19.53986547
0.86	-17.38703874	-2.480018791	0	4.877423103	5.313258414	15.12843001	-76.04357983	18.45479431	74.75990512	9.291050833	19.57884257
0.88	-17.47564778	-2.354669553	0	5.038801764	5.317481183	15.24651253	-76.0389974	18.86843507	74.62899156	9.335749984	19.61578439
0.9	-17.56542232	-2.228921389	0	5.200905454	5.32265763	15.36560276	-76.03610771	19.28047471	74.50218972	9.382192808	19.6505638
0.92	-17.65638109	-2.102967015	0	5.363517947	5.328798204	15.48551383	-76.03434328	19.69077152	74.3791565	9.430327416	19.68291105
0.94	-17.74860147	-1.976886055	0	5.526485453	5.335826899	15.60629766	-76.03321696	20.09916926	74.25939935	9.480095219	19.71281287
0.96	-17.84214279	-1.850758634	0	5.689657058	5.34367477	15.72799349	-76.0322753	20.50550318	74.14242906	9.531434337	19.74029178
