UNKNOWN
version=1
nRows=151
nColumns=139
inDegrees=no
endheader
time	simulation	anconeus_1	anconeus_2	anconeus_3	anconeus_4	anconeus_5	bic_b_1	bic_l	brachialis_1	brachialis_2	brachialis_3	brachialis_4	brachialis_5	brachialis_6	brachialis_7	brachiorad_1	brachiorad_2	brachiorad_3	coracobr_1	coracobr_2	coracobr_3	delt_clav_1	delt_clav_2	delt_clav_3	delt_clav_4	delt_scap10	delt_scap11	delt_scap_1	delt_scap_2	delt_scap_3	delt_scap_4	delt_scap_5	delt_scap_6	delt_scap_7	delt_scap_8	delt_scap_9	infra_1	infra_2	infra_3	infra_4	infra_5	infra_6	lat_dorsi_1	lat_dorsi_2	lat_dorsi_3	lat_dorsi_4	lat_dorsi_5	lat_dorsi_6	lev_scap_1	lev_scap_2	pect_maj_c_1	pect_maj_c_2	pect_maj_t_1	pect_maj_t_2	pect_maj_t_3	pect_maj_t_4	pect_maj_t_5	pect_maj_t_6	pect_min_1	pect_min_2	pect_min_3	pect_min_4	pron_quad_1	pron_quad_2	pron_quad_3	pron_teres_1	pron_teres_2	rhomboid_1	rhomboid_2	rhomboid_3	rhomboid_4	rhomboid_5	serr_ant10	serr_ant11	serr_ant12	serr_ant_1	serr_ant_2	serr_ant_3	serr_ant_4	serr_ant_5	serr_ant_6	serr_ant_7	serr_ant_8	serr_ant_9	subscap10	subscap11	subscap_1	subscap_2	subscap_3	subscap_4	subscap_5	subscap_6	subscap_7	subscap_8	subscap_9	supinator_1	supinator_2	supinator_3	supinator_4	supinator_5	supra_1	supra_2	supra_3	supra_4	ter_maj_1	ter_maj_2	ter_maj_3	ter_maj_4	ter_min_1	ter_min_2	ter_min_3	trap_clav_1	trap_clav_2	trap_scap10	trap_scap11	trap_scap_1	trap_scap_2	trap_scap_3	trap_scap_4	trap_scap_5	trap_scap_6	trap_scap_7	trap_scap_8	trap_scap_9	tric_lat_1	tric_lat_2	tric_lat_3	tric_lat_4	tric_lat_5	tric_long_1	tric_long_2	tric_long_3	tric_long_4	tric_med_1	tric_med_2	tric_med_3	tric_med_4	tric_med_5
      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00144406	      0.01020908	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00067640	     -0.00146884	     -0.00117641	      0.00343896	      0.00396652	      0.00426528	      0.00389490	     -0.00315439	     -0.00266100	     -0.00518902	     -0.00442006	     -0.00498259	     -0.00562595	     -0.00506989	     -0.00483050	     -0.00373409	     -0.00325979	     -0.00351325	     -0.00965730	     -0.00550931	     -0.00625447	     -0.00643035	     -0.00533528	     -0.00896267	      0.01656218	      0.01546391	      0.01393915	      0.01198276	      0.00897744	      0.00778991	      0.00000000	      0.00000000	      0.00792487	      0.00778467	      0.01345123	      0.01493484	      0.01528015	      0.01507408	      0.01433052	      0.01315511	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01539944	      0.01005130	      0.01534013	      0.00542599	      0.01772171	      0.02293041	      0.02215386	      0.02521522	      0.02354483	      0.02384464	      0.02055523	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00291177	     -0.00594231	      0.01222891	      0.01295134	      0.00836950	      0.00837534	      0.00787237	      0.00989246	     -0.00987145	     -0.01002187	     -0.01031386	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00432572	     -0.00300426	     -0.00309480	     -0.00300426	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000
      1.00000000	      0.01000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00143537	      0.01016633	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00068017	     -0.00146911	     -0.00117864	      0.00341560	      0.00394890	      0.00424696	      0.00387651	     -0.00315993	     -0.00266876	     -0.00516989	     -0.00440651	     -0.00497646	     -0.00562218	     -0.00507226	     -0.00482931	     -0.00373445	     -0.00326190	     -0.00351741	     -0.00963035	     -0.00548365	     -0.00622861	     -0.00640533	     -0.00530704	     -0.00893252	      0.01657004	      0.01548291	      0.01396131	      0.01200273	      0.00899753	      0.00780559	      0.00000000	      0.00000000	      0.00787539	      0.00771910	      0.01340436	      0.01488782	      0.01523368	      0.01501982	      0.01426958	      0.01309755	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01539643	      0.01002972	      0.01530102	      0.00537655	      0.01770345	      0.02294136	      0.02215762	      0.02524204	      0.02357078	      0.02387011	      0.02057630	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00287133	     -0.00590467	      0.01223060	      0.01294832	      0.00835880	      0.00836837	      0.00786372	      0.00988345	     -0.00986736	     -0.01001783	     -0.01030574	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00432834	     -0.00300593	     -0.00309725	     -0.00300593	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000
      2.00000000	      0.02000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00142899	      0.01011450	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00068318	     -0.00146927	     -0.00118044	      0.00339299	      0.00393225	      0.00423002	      0.00385981	     -0.00316464	     -0.00267455	     -0.00515415	     -0.00439588	     -0.00497066	     -0.00561859	     -0.00507336	     -0.00482671	     -0.00373367	     -0.00326134	     -0.00352145	     -0.00961758	     -0.00547262	     -0.00621697	     -0.00639308	     -0.00529060	     -0.00891371	      0.01657379	      0.01550139	      0.01398674	      0.01203109	      0.00902986	      0.00783639	      0.00000000	      0.00000000	      0.00783587	      0.00766580	      0.01338579	      0.01486447	      0.01520737	      0.01498701	      0.01422533	      0.01305326	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01539464	      0.01001214	      0.01527293	      0.00534004	      0.01768799	      0.02294812	      0.02216248	      0.02526660	      0.02360006	      0.02389611	      0.02060333	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00284505	     -0.00587793	      0.01222223	      0.01293657	      0.00835173	      0.00836233	      0.00785548	      0.00987812	     -0.00986753	     -0.01001825	     -0.01030121	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00433035	     -0.00300824	     -0.00309944	     -0.00300824	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000
      3.00000000	      0.03000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00142476	      0.01005395	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00068549	     -0.00146935	     -0.00118185	      0.00337105	      0.00391648	      0.00421436	      0.00384470	     -0.00316859	     -0.00267849	     -0.00514155	     -0.00438795	     -0.00496515	     -0.00561516	     -0.00507326	     -0.00482276	     -0.00373183	     -0.00325830	     -0.00352537	     -0.00961808	     -0.00547533	     -0.00621870	     -0.00639278	     -0.00528520	     -0.00890548	      0.01657380	      0.01551956	      0.01401541	      0.01206746	      0.00907383	      0.00788156	      0.00000000	      0.00000000	      0.00780558	      0.00762384	      0.01339370	      0.01486323	      0.01519982	      0.01497418	      0.01419655	      0.01302125	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01539392	      0.00999829	      0.01525507	      0.00531550	      0.01767507	      0.02295091	      0.02216826	      0.02528901	      0.02363245	      0.02392258	      0.02063597	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00283193	     -0.00586133	      0.01220435	      0.01291657	      0.00834803	      0.00835713	      0.00784760	      0.00987622	     -0.00987166	     -0.01002282	     -0.01030000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00433177	     -0.00301117	     -0.00310137	     -0.00301117	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000
      4.00000000	      0.04000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00142254	      0.00998507	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00068716	     -0.00146935	     -0.00118289	      0.00334970	      0.00390153	      0.00419985	      0.00383105	     -0.00317182	     -0.00268070	     -0.00513182	     -0.00438249	     -0.00495988	     -0.00561186	     -0.00507203	     -0.00481751	     -0.00372897	     -0.00325291	     -0.00352918	     -0.00963100	     -0.00549092	     -0.00623294	     -0.00640367	     -0.00529007	     -0.00890706	      0.01657035	      0.01553753	      0.01404722	      0.01211140	      0.00912883	      0.00794029	      0.00000000	      0.00000000	      0.00778377	      0.00759229	      0.01342619	      0.01488247	      0.01520962	      0.01497981	      0.01418203	      0.01300055	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01539416	      0.00998786	      0.01524658	      0.00530197	      0.01766439	      0.02294985	      0.02217477	      0.02530930	      0.02366769	      0.02394941	      0.02067383	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00283096	     -0.00585410	      0.01217751	      0.01288880	      0.00834744	      0.00835268	      0.00784002	      0.00987748	     -0.00987949	     -0.01003127	     -0.01030189	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00433264	     -0.00301465	     -0.00310306	     -0.00301465	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      5.00000000	      0.05000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00142221	      0.00990823	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00068822	     -0.00146927	     -0.00118359	      0.00332888	      0.00388733	      0.00418641	      0.00381874	     -0.00317435	     -0.00268126	     -0.00512468	     -0.00437928	     -0.00495478	     -0.00560864	     -0.00506970	     -0.00481101	     -0.00372513	     -0.00324529	     -0.00353286	     -0.00965549	     -0.00551857	     -0.00625887	     -0.00642500	     -0.00530447	     -0.00891771	      0.01656362	      0.01555530	      0.01408197	      0.01216242	      0.00919419	      0.00801176	      0.00000000	      0.00000000	      0.00776974	      0.00757027	      0.01348134	      0.01492052	      0.01523533	      0.01500239	      0.01418056	      0.01299016	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01539518	      0.00998055	      0.01524661	      0.00529848	      0.01765562	      0.02294506	      0.02218179	      0.02532747	      0.02370549	      0.02397645	      0.02071647	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00284111	     -0.00585544	      0.01214225	      0.01285373	      0.00834970	      0.00834887	      0.00783269	      0.00988164	     -0.00989077	     -0.01004332	     -0.01030665	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00433296	     -0.00301864	     -0.00310450	     -0.00301864	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      6.00000000	      0.06000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00142362	      0.00982378	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00068873	     -0.00146913	     -0.00118399	      0.00330854	      0.00387378	      0.00417393	      0.00380765	     -0.00317621	     -0.00268027	     -0.00511985	     -0.00437808	     -0.00494976	     -0.00560545	     -0.00506630	     -0.00480329	     -0.00372034	     -0.00323556	     -0.00353638	     -0.00969073	     -0.00555747	     -0.00629574	     -0.00645602	     -0.00532769	     -0.00893667	      0.01655373	      0.01557283	      0.01411944	      0.01222001	      0.00926924	      0.00809513	      0.00000000	      0.00000000	      0.00776278	      0.00755692	      0.01355724	      0.01497575	      0.01527550	      0.01504041	      0.01419094	      0.01298911	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01539679	      0.00997605	      0.01525427	      0.00530406	      0.01764842	      0.02293658	      0.02218911	      0.02534349	      0.02374551	      0.02400348	      0.02076343	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00286135	     -0.00586456	      0.01209907	      0.01281179	      0.00835454	      0.00834559	      0.00782553	      0.00988839	     -0.00990524	     -0.01005873	     -0.01031405	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00433274	     -0.00302309	     -0.00310569	     -0.00302309	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      7.00000000	      0.07000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00142666	      0.00973209	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00068873	     -0.00146893	     -0.00118409	      0.00328862	      0.00386084	      0.00416231	      0.00379769	     -0.00317739	     -0.00267779	     -0.00511707	     -0.00437865	     -0.00494476	     -0.00560221	     -0.00506186	     -0.00479436	     -0.00371461	     -0.00322383	     -0.00353973	     -0.00973594	     -0.00560689	     -0.00634276	     -0.00649604	     -0.00535902	     -0.00896322	      0.01654077	      0.01559002	      0.01415935	      0.01228361	      0.00935330	      0.00818956	      0.00000000	      0.00000000	      0.00776222	      0.00755140	      0.01365197	      0.01504650	      0.01532871	      0.01509238	      0.01421198	      0.01299645	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01539881	      0.00997406	      0.01526866	      0.00531777	      0.01764243	      0.02292447	      0.02219649	      0.02535727	      0.02378739	      0.02403031	      0.02081425	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00289068	     -0.00588067	      0.01204846	      0.01276343	      0.00836169	      0.00834273	      0.00781845	      0.00989747	     -0.00992268	     -0.01007726	     -0.01032390	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00433197	     -0.00302793	     -0.00310663	     -0.00302793	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      8.00000000	      0.08000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00143120	      0.00963351	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00068825	     -0.00146867	     -0.00118394	      0.00326908	      0.00384842	      0.00415146	      0.00378873	     -0.00317792	     -0.00267389	     -0.00511606	     -0.00438076	     -0.00493967	     -0.00559886	     -0.00505638	     -0.00478424	     -0.00370798	     -0.00321019	     -0.00354286	     -0.00979035	     -0.00566607	     -0.00639924	     -0.00654436	     -0.00539777	     -0.00899666	      0.01652477	      0.01560674	      0.01420140	      0.01235267	      0.00944570	      0.00829422	      0.00000000	      0.00000000	      0.00776743	      0.00755294	      0.01376368	      0.01513117	      0.01539355	      0.01515685	      0.01424255	      0.01301123	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01540104	      0.00997426	      0.01528891	      0.00533867	      0.01763730	      0.02290872	      0.02220372	      0.02536871	      0.02383077	      0.02405668	      0.02086846	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00292811	     -0.00590299	      0.01199088	      0.01270905	      0.00837088	      0.00834017	      0.00781138	      0.00990858	     -0.00994288	     -0.01009868	     -0.01033599	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00433065	     -0.00303311	     -0.00310729	     -0.00303311	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000
      9.00000000	      0.09000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00143713	      0.00952838	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00068733	     -0.00146835	     -0.00118354	      0.00324989	      0.00383647	      0.00414130	      0.00378069	     -0.00317778	     -0.00266862	     -0.00511657	     -0.00438419	     -0.00493442	     -0.00559534	     -0.00504988	     -0.00477293	     -0.00370044	     -0.00319473	     -0.00354575	     -0.00985323	     -0.00573431	     -0.00646445	     -0.00660035	     -0.00544330	     -0.00903628	      0.01650577	      0.01562285	      0.01424527	      0.01242665	      0.00954576	      0.00840828	      0.00000000	      0.00000000	      0.00777776	      0.00756077	      0.01389052	      0.01522819	      0.01546866	      0.01523240	      0.01428154	      0.01303257	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01540327	      0.00997635	      0.01531414	      0.00536586	      0.01763267	      0.02288935	      0.02221054	      0.02537771	      0.02387526	      0.02408234	      0.02092557	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00297267	     -0.00593077	      0.01192679	      0.01264907	      0.00838185	      0.00833779	      0.00780424	      0.00992146	     -0.00996561	     -0.01012277	     -0.01035015	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00432877	     -0.00303857	     -0.00310766	     -0.00303857	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000
