IKResults
version=1
nRows=3565
nColumns=18
inDegrees=yes

Units are S.I. units (second, meters, Newtons, ...)
If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).

endheader
time	TH_x	TH_y	TH_z	TH_x_trans	TH_y_trans	TH_z_trans	SC_y	SC_z	SC_x	AC_y	AC_z	AC_x	GH_y	GH_z	GH_yy	EL_x	PS_y
      6.94000000	      6.27720298	   -168.33037284	      5.27982631	      0.15421233	      1.44672430	      0.05018150	    -33.15510221	     -0.33748586	      1.78548305	     46.97192337	      8.55242002	     -4.24521262	     -3.39217315	      5.38768600	     19.23304749	     22.08424745	    115.20089644
      6.95000000	      6.28231610	   -168.39338992	      5.35398990	      0.15428635	      1.44652770	      0.05015077	    -32.99014579	     -0.29865300	      2.01649098	     46.34130284	      8.79365581	     -4.39970816	     -2.80871698	      4.76380340	     20.03428310	     22.39468668	    115.17804248
      6.96000000	      6.29717005	   -168.38439048	      5.30941538	      0.15423674	      1.44654223	      0.05038406	    -32.98110729	     -0.33719021	      1.98522033	     46.34765578	      8.74261688	     -4.39202048	     -2.79552384	      4.71601130	     20.04879835	     22.40610831	    115.17845490
      6.97000000	      6.31248984	   -168.37580041	      5.27196472	      0.15420184	      1.44654830	      0.05061928	    -32.97093054	     -0.37056110	      1.95521756	     46.35185298	      8.69393080	     -4.38554455	     -2.77879485	      4.66502721	     20.06731867	     22.42135533	    115.17963980
      6.98000000	      6.30553956	   -168.43717498	      5.33739188	      0.15425324	      1.44640423	      0.05054713	    -32.79983326	     -0.35618634	      2.12276402	     45.71845726	      8.78461037	     -4.49260408	     -2.20292759	      4.34239973	     20.86936726	     22.67252088	    115.16657122
      6.99000000	      6.31467599	   -168.43226335	      5.30440627	      0.15424175	      1.44639247	      0.05075618	    -32.79486236	     -0.38620051	      2.10143844	     45.72213136	      8.74657194	     -4.48507090	     -2.19387587	      4.30886577	     20.87982503	     22.68208994	    115.16643370
      7.00000000	      6.32476498	   -168.42913339	      5.27775032	      0.15424575	      1.44639307	      0.05096399	    -32.79059390	     -0.41122188	      2.08104701	     45.72271852	      8.71095558	     -4.47931956	     -2.18248640	      4.27574964	     20.89299755	     22.69404749	    115.16692645
      7.01000000	      6.38367051	   -168.47807404	      5.32331726	      0.15424181	      1.44617303	      0.05098491	    -32.70639138	     -0.42050298	      2.18866119	     45.24465427	      8.68772337	     -4.49268476	     -1.77716065	      4.23128026	     21.46294946	     22.95220176	    115.17410421
      7.02000000	      6.38478933	   -168.47882129	      5.30288162	      0.15426860	      1.44618166	      0.05118848	    -32.70586850	     -0.43937214	      2.17318035	     45.24333027	      8.66139487	     -4.49038971	     -1.77068552	      4.21265828	     21.47229351	     22.95584443	    115.17385314
      7.03000000	      6.38379743	   -168.48236019	      5.28980386	      0.15431661	      1.44617118	      0.05135668	    -32.70781989	     -0.45433733	      2.16262204	     45.23673224	      8.63964880	     -4.48682146	     -1.76272348	      4.20145263	     21.48341099	     22.96207539	    115.17401385
