IKResults
version=1
nRows=231
nColumns=18
inDegrees=yes

Units are S.I. units (second, meters, Newtons, ...)
If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).

endheader
time	TH_x	TH_y	TH_z	TH_x_trans	TH_y_trans	TH_z_trans	SC_y	SC_z	SC_x	AC_y	AC_z	AC_x	GH_y	GH_z	GH_yy	EL_x	PS_y
      5.70000000	      0.66798290	   -174.43288193	      5.24354474	      0.09095796	      1.16774901	     -0.20806344	    -30.10371899	     -0.58328177	      8.00626056	     63.67494519	     21.86069321	      2.89760735	     44.72947218	     51.86789046	    -54.73623072	     25.32839720	     95.59810095
      5.71000000	      0.66693095	   -174.43339642	      5.24416408	      0.09095795	      1.16775932	     -0.20829712	    -30.10403807	     -0.58326934	      8.00706154	     63.67584026	     21.86139391	      2.89874594	     44.72990602	     51.86924590	    -54.73629528	     25.32914638	     95.59800414
      5.72000000	      0.66517940	   -174.43319674	      5.24470531	      0.09095149	      1.16774942	     -0.20853888	    -30.10371292	     -0.58359995	      8.00810608	     63.67750444	     21.86215281	      2.90058009	     44.73087711	     51.87102293	    -54.73641603	     25.33022434	     95.59783975
      5.73000000	      0.65528750	   -174.42852994	      5.24451632	      0.09089864	      1.16770628	     -0.20880770	    -30.09936846	     -0.58726200	      8.00981289	     63.68484011	     21.86265843	      2.90904967	     44.73602793	     51.87586483	    -54.73829336	     25.33385397	     95.59642205
      5.74000000	      0.65498276	   -174.42991242	      5.24360803	      0.09089999	      1.16768259	     -0.20903351	    -30.10043652	     -0.58783786	      8.00845545	     63.68543718	     21.86143345	      2.90918951	     44.73658960	     51.87538324	    -54.73875287	     25.33417375	     95.59614622
      5.75000000	      0.65470407	   -174.43077327	      5.24206765	      0.09090058	      1.16764832	     -0.20926197	    -30.10103741	     -0.58887286	      8.00654967	     63.68666248	     21.85957839	      2.90961431	     44.73770719	     51.87469483	    -54.73931746	     25.33464341	     95.59579201
      5.76000000	      0.65476649	   -174.43136291	      5.23965436	      0.09089988	      1.16760522	     -0.20949000	    -30.10140517	     -0.59040012	      8.00371878	     63.68830365	     21.85678892	      2.91003485	     44.73927688	     51.87344786	    -54.74002949	     25.33512700	     95.59535176
      5.77000000	      0.45917610	   -174.45007707	      5.25376092	      0.09070572	      1.16787753	     -0.20968132	    -30.12569306	     -0.60557233	      7.86389727	     63.75049412	     21.72639595	      2.98849599	     44.76109698	     51.80241250	    -54.95169311	     25.36304362	     95.47868727
      5.78000000	      0.46205945	   -174.45069749	      5.25090998	      0.09070264	      1.16776675	     -0.20988932	    -30.12610166	     -0.60646117	      7.86087796	     63.75104132	     21.72397385	      2.98735748	     44.76195638	     51.80002451	    -54.95236876	     25.36291212	     95.47822751
      5.79000000	      0.47300950	   -174.44454906	      5.22902105	      0.09066910	      1.16783201	     -0.21010658	    -30.12224548	     -0.61859167	      7.84517226	     63.75574314	     21.70867355	      2.98942875	     44.76708670	     51.78947626	    -54.96253939	     25.36385278	     95.47238954
      5.80000000	      0.47506088	   -174.44580747	      5.22486962	      0.09068331	      1.16771871	     -0.21031462	    -30.12348171	     -0.62071466	      7.84158154	     63.75594793	     21.70535975	      2.98867712	     44.76760147	     51.78699063	    -54.96394090	     25.36380930	     95.47164194
      5.81000000	      0.44979356	   -174.40061837	      5.13317017	      0.09056841	      1.16790400	     -0.21036070	    -30.26038587	     -0.53082822	      7.75438856	     63.84589964	     21.89263588	      3.10739954	     45.02805785	     51.44225654	    -56.13944477	     25.63701294	     94.56705613
      5.82000000	      0.46006642	   -174.39774739	      5.11976566	      0.09058311	      1.16790277	     -0.21055753	    -30.25915654	     -0.53847612	      7.73692214	     63.84664775	     21.87642421	      3.10503331	     45.03512140	     51.43393411	    -56.14129946	     25.63126565	     94.56402849
      5.83000000	      0.38077388	   -174.35390338	      5.14001883	      0.09047081	      1.16795238	     -0.21079734	    -30.28783014	     -0.59166406	      7.60617404	     63.80027008	     21.74566686	      3.16567488	     45.08673454	     51.49770248	    -56.28000817	     25.54465453	     94.42439745
