IKResults
version=1
nRows=6338
nColumns=18
inDegrees=yes

Units are S.I. units (second, meters, Newtons, ...)
If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).

endheader
time	TH_x	TH_y	TH_z	TH_x_trans	TH_y_trans	TH_z_trans	SC_y	SC_z	SC_x	AC_y	AC_z	AC_x	GH_y	GH_z	GH_yy	EL_x	PS_y
      7.94000000	      1.56782640	   -175.75560803	      2.91824954	      0.08773870	      1.16927909	     -0.21268061	    -31.46690598	     -1.35947251	      6.58150180	     66.92975852	     21.27885829	      2.65466031	     48.03109042	     49.54826858	    -52.64921661	     24.03583704	     79.89000438
      7.95000000	      1.58911587	   -175.82431605	      2.83869784	      0.08771378	      1.16943248	     -0.21262931	    -31.37956973	     -1.41870772	      6.61765681	     66.84289531	     21.37471681	      2.58086675	     48.09802746	     49.44761431	    -52.62577828	     24.36171619	     80.01737914
      7.96000000	      1.59044619	   -175.82226037	      2.83803956	      0.08773389	      1.16931745	     -0.21260921	    -31.37705681	     -1.41885876	      6.61608401	     66.84436566	     21.37344429	      2.58079552	     48.09985455	     49.44621641	    -52.62555026	     24.36206620	     80.01807666
      7.97000000	      1.59769839	   -175.81263733	      2.83497233	      0.08769787	      1.16925460	     -0.21260323	    -31.36462930	     -1.41939414	      6.60949582	     66.84964016	     21.36809844	      2.58101593	     48.10855443	     49.43903534	    -52.62434555	     24.36529831	     80.02217807
      7.98000000	      1.59927431	   -175.81116789	      2.83296370	      0.08772067	      1.16914362	     -0.21257500	    -31.36263701	     -1.42026045	      6.60762138	     66.85014613	     21.36654919	      2.58050831	     48.11018143	     49.43672365	    -52.62403562	     24.36572179	     80.02291127
      7.99000000	      1.60840323	   -175.80266857	      2.82198915	      0.08767709	      1.16912234	     -0.21252930	    -31.35051419	     -1.42485441	      6.59969812	     66.85007410	     21.36011432	      2.57850434	     48.11891867	     49.42329818	    -52.62177725	     24.36996348	     80.02806071
      8.00000000	      1.63999879	   -175.95617589	      2.81334965	      0.08769893	      1.16902020	     -0.21287302	    -30.93266443	     -1.35997329	      6.61433366	     66.25849092	     21.33488071	      2.93120847	     48.27678697	     49.16158638	    -52.74940427	     24.68357261	     80.88323212
      8.01000000	      1.64130505	   -175.95533605	      2.81130461	      0.08769723	      1.16891687	     -0.21282035	    -30.93204269	     -1.35996155	      6.61220652	     66.25936036	     21.33366359	      2.92962314	     48.27808494	     49.15927063	    -52.74898176	     24.68310984	     80.88394475
      8.02000000	      1.64345797	   -175.95400818	      2.80872172	      0.08769596	      1.16883811	     -0.21274566	    -30.93096111	     -1.35980840	      6.60956170	     66.26011985	     21.33214114	      2.92749826	     48.27971454	     49.15602393	    -52.74825520	     24.68248489	     80.88480568
      8.03000000	      1.65001177	   -175.94805282	      2.79519841	      0.08763664	      1.16888907	     -0.21263490	    -30.92687007	     -1.35723949	      6.60392370	     66.25889767	     21.33324923	      2.91562286	     48.28583609	     49.13971206	    -52.74249883	     24.67954096	     80.89196713
      8.04000000	      1.61627690	   -175.88234871	      2.67883976	      0.08782895	      1.16904660	     -0.21284759	    -30.88324404	     -1.33629453	      6.68011706	     66.19374900	     21.46808499	      2.82922502	     48.31839004	     49.02786445	    -52.66150551	     24.66646379	     80.98629493
      8.05000000	      1.61628273	   -175.88302561	      2.67896202	      0.08780510	      1.16900490	     -0.21274238	    -30.88391620	     -1.33588084	      6.68024252	     66.19245695	     21.46856804	      2.82840957	     48.31816769	     49.02715470	    -52.66095725	     24.66635624	     80.98711217
      8.06000000	      1.61588095	   -175.88425537	      2.67970011	      0.08777825	      1.16898602	     -0.21262686	    -30.88514501	     -1.33495330	      6.68145458	     66.18978993	     21.47021336	      2.82714748	     48.31701752	     49.02645691	    -52.66024076	     24.66596888	     80.98805901
      8.07000000	      1.65442114	   -175.84240194	      2.58852099	      0.08797602	      1.16905171	     -0.21273053	    -30.83886442	     -1.29762111	      6.80381176	     65.99569736	     21.63498354	      2.77926559	     48.41692049	     48.93132963	    -52.40942467	     24.70557569	     81.22033433
      8.08000000	      1.65218976	   -175.84357778	      2.59105419	      0.08791349	      1.16907761	     -0.21259508	    -30.83998503	     -1.29658736	      6.80623609	     65.99325912	     21.63719248	      2.77962673	     48.41513684	     48.93283744	    -52.40910145	     24.70534992	     81.22115741
      8.09000000	      1.64101132	   -175.85325432	      2.60734711	      0.08793138	      1.16899409	     -0.21243889	    -30.84811286	     -1.28704464	      6.82285533	     65.97653017	     21.65358609	      2.77887576	     48.40415542	     48.94053422	    -52.40456072	     24.70340778	     81.22705770
      8.10000000	      1.66238111	   -175.83267328	      2.68067670	      0.08818305	      1.16875518	     -0.21240886	    -30.81940594	     -1.20537682	      6.86603127	     65.92750409	     21.71076320	      2.75138521	     48.40427926	     48.93546425	    -52.34059787	     24.68942923	     81.27560969
      8.11000000	      1.65029498	   -175.83520225	      2.68645737	      0.08813527	      1.16882197	     -0.21229436	    -30.82187982	     -1.20074500	      6.88885397	     65.90305238	     21.73239206	      2.75234920	     48.39387102	     48.94376051	    -52.32757648	     24.68682823	     81.28702130
      8.12000000	      1.64650778	   -175.85265920	      2.63471501	      0.08820898	      1.16870938	     -0.21258718	    -30.57131862	     -1.08682237	      6.41401291	     65.71597678	     21.94026530	      3.52584966	     47.32068472	     48.79694104	    -50.98536194	     24.79299658	     85.56967456
      8.13000000	      1.62973465	   -175.85992584	      2.65303924	      0.08819435	      1.16873932	     -0.21243870	    -30.57847791	     -1.07616355	      6.44145745	     65.69987832	     21.96729205	      3.52790799	     47.30674469	     48.81369637	    -50.98662148	     24.79229574	     85.57112117
      8.14000000	      1.65800727	   -175.83551810	      2.73252706	      0.08841266	      1.16853468	     -0.21237715	    -30.55192716	     -0.97405122	      6.50744323	     65.65749133	     22.05772254	      3.48421419	     47.29599964	     48.82678376	    -50.95275148	     24.77792773	     85.59119840
      8.15000000	      1.63329894	   -175.84159944	      2.74881019	      0.08838718	      1.16860111	     -0.21224327	    -30.55908997	     -0.96542274	      6.54565675	     65.63430863	     22.09431227	      3.48810843	     47.27896098	     48.84945976	    -50.94901262	     24.77783682	     85.59466284
      8.16000000	      1.67165778	   -175.79961426	      2.83168835	      0.08868151	      1.16839491	     -0.21222509	    -30.51722865	     -0.83445261	      6.63995771	     65.56205755	     22.22223925	      3.42064204	     47.27080788	     48.86583314	    -50.86957323	     24.76050385	     85.63253719
      8.17000000	      1.67752967	   -175.78336020	      2.68715317	      0.08865946	      1.16840760	     -0.21242844	    -30.35626809	     -0.71072474	      6.64961500	     64.92367595	     22.27425013	      3.39266443	     47.52592878	     49.30075708	    -49.91883196	     24.59951264	     86.26190674
      8.18000000	      1.66801460	   -175.78454871	      2.77097576	      0.08879464	      1.16832424	     -0.21230645	    -30.34429664	     -0.63518213	      6.71056912	     64.90402196	     22.35412448	      3.36953564	     47.49747902	     49.32445252	    -49.89651987	     24.60249633	     86.28110312
      8.19000000	      1.66443818	   -175.77541445	      2.85182994	      0.08897273	      1.16822291	     -0.21222497	    -30.32434653	     -0.54699296	      6.78967410	     64.86895926	     22.45695443	      3.33572057	     47.46640038	     49.35464421	    -49.85188444	     24.60539812	     86.30995286
      8.20000000	      1.66865337	   -175.75714230	      2.92475432	      0.08914202	      1.16816197	     -0.21217443	    -30.29589152	     -0.44666058	      6.88209854	     64.82074549	     22.57884030	      3.29084783	     47.43862707	     49.39415973	    -49.77575744	     24.61231923	     86.35316604
      8.21000000	      1.65016817	   -175.76660507	      2.84930611	      0.08920322	      1.16819519	     -0.21236226	    -30.08196235	     -0.38307481	      6.81263466	     64.37398794	     22.63068267	      3.24894866	     47.31312631	     49.87788230	    -48.51611947	     24.49605228	     87.29059906
      8.22000000	      1.63508003	   -175.76985819	      2.96420377	      0.08936187	      1.16809915	     -0.21224967	    -30.07175220	     -0.28267735	      6.89566749	     64.36591508	     22.73564761	      3.23018754	     47.27509025	     49.91274525	    -48.48955297	     24.51144763	     87.31418787
      8.23000000	      1.62623839	   -175.78568709	      2.95538896	      0.08952636	      1.16808805	     -0.21231594	    -29.91441596	     -0.20316672	      6.77518788	     64.33751813	     22.87725063	      3.37714103	     46.63269461	     50.10692408	    -47.33426559	     24.54507905	     88.63993051
      8.24000000	      1.60933727	   -175.78659689	      3.08488937	      0.08969488	      1.16798013	     -0.21221294	    -29.90779451	     -0.09331336	      6.86960156	     64.33175664	     22.99215302	      3.36357060	     46.59870303	     50.14806318	    -47.31664270	     24.56487822	     88.65785276
      8.25000000	      1.60333579	   -175.77619987	      3.20146651	      0.08989295	      1.16786610	     -0.21214639	    -29.89198376	      0.03060016	      6.98257492	     64.31257856	     23.13317706	      3.33603213	     46.56394499	     50.19763947	    -47.27188959	     24.58959917	     88.68790506
      8.26000000	      1.61274754	   -175.74601536	      3.13586324	      0.09006694	      1.16785760	     -0.21222759	    -29.79991647	      0.17800789	      6.97291978	     64.10708798	     23.31133178	      3.37976614	     46.27709692	     50.50260178	    -46.25244358	     24.59198170	     89.68078682
      8.27000000	      1.58785628	   -175.75249014	      3.28566839	      0.09024862	      1.16775503	     -0.21212803	    -29.78836751	      0.29945976	      7.07729902	     64.10634949	     23.43765307	      3.36799793	     46.24334423	     50.55893605	    -46.22706993	     24.61873242	     89.70199643
      8.28000000	      1.64472929	   -175.76677625	      3.24624693	      0.09048412	      1.16774632	     -0.21202862	    -29.74472035	      0.46805497	      7.25522425	     64.06617193	     23.72492983	      3.27390723	     46.17605587	     50.66170515	    -45.97634115	     24.76661333	     89.89898420
      8.29000000	      1.60165700	   -175.76857448	      3.41828151	      0.09068414	      1.16764341	     -0.21195734	    -29.73236694	      0.59446457	      7.35720959	     64.05741301	     23.84267417	      3.26921714	     46.14683901	     50.73520932	    -45.92954943	     24.77546380	     89.92943596
      8.30000000	      1.55258963	   -175.87332808	      3.46005759	      0.09086882	      1.16765218	     -0.21203195	    -29.46324711	      0.68025118	      7.06313400	     64.26761244	     24.06219332	      3.65935895	     44.93038612	     50.85860447	    -44.37005959	     24.97316240	     92.27364745
      8.31000000	      1.52787990	   -175.86314398	      3.62777229	      0.09110512	      1.16752907	     -0.21197798	    -29.46106252	      0.81435224	      7.18804136	     64.25497564	     24.20161987	      3.65884612	     44.90985922	     50.94299288	    -44.34261622	     24.98378640	     92.29080851
      8.32000000	      1.56104345	   -175.79321888	      3.59598369	      0.09125680	      1.16743136	     -0.21196331	    -29.51462381	      1.03825495	      7.30053651	     64.01444403	     24.44363151	      3.64540413	     45.04168837	     51.28578095	    -43.81413849	     24.91329727	     92.76949252
      8.33000000	      1.52386407	   -175.79714318	      3.77354338	      0.09149973	      1.16733581	     -0.21191612	    -29.49592802	      1.17150841	      7.42679651	     64.01157504	     24.58793952	      3.64388651	     45.01575279	     51.37228635	    -43.78428146	     24.94152334	     92.78875412
      8.34000000	      1.50145135	   -175.79817495	      3.93508595	      0.09176130	      1.16722479	     -0.21188848	    -29.47116762	      1.31819354	      7.57056369	     64.00208644	     24.75735475	      3.63052561	     44.99454395	     51.47012674	    -43.72875118	     24.97866496	     92.81818022
      8.35000000	      1.52096318	   -175.90505164	      3.85754791	      0.09189612	      1.16724493	     -0.21190073	    -29.26415005	      1.49222044	      7.62730504	     63.73488179	     24.99816909	      3.58212238	     44.94273456	     51.95816278	    -42.76291600	     24.95816390	     93.60965734
      8.36000000	      1.47836711	   -175.90673894	      4.04354499	      0.09213959	      1.16715704	     -0.21187651	    -29.24846673	      1.62836479	      7.76129571	     63.74712041	     25.14854029	      3.59325202	     44.91721555	     52.05084398	    -42.73366545	     24.99607720	     93.63066208
      8.37000000	      1.45259874	   -175.91020479	      4.21184781	      0.09241156	      1.16706255	     -0.21185187	    -29.22965137	      1.77598648	      7.91278952	     63.75391000	     25.32348125	      3.59433910	     44.89606061	     52.15455343	    -42.68042824	     25.04167973	     93.66136477
      8.38000000	      1.53336768	   -176.02747981	      4.13800334	      0.09250624	      1.16703320	     -0.21165864	    -29.16320166	      1.97903208	      7.65439255	     64.06525264	     25.84694577	      4.15026251	     43.88942236	     52.21774772	    -41.52100682	     25.30390406	     96.14467998
      8.39000000	      1.47871089	   -176.02362999	      4.32660426	      0.09280110	      1.16698009	     -0.21166365	    -29.14472394	      2.11412529	      7.79434158	     64.06752968	     25.99968756	      4.16300948	     43.88093757	     52.32254756	    -41.49323145	     25.33088624	     96.15753670
      8.40000000	      1.55014400	   -176.09472594	      4.31847979	      0.09299499	      1.16697323	     -0.21149162	    -29.12918458	      2.29978119	      8.01984606	     64.00857721	     26.31183672	      4.11587902	     43.99005835	     52.55235150	    -41.25376143	     25.42222377	     96.28819575
      8.41000000	      1.48906140	   -176.09117213	      4.51376687	      0.09325812	      1.16693874	     -0.21152914	    -29.10491545	      2.43458828	      8.15625592	     64.02124695	     26.45732156	      4.14037205	     43.98951341	     52.66755893	    -41.21255670	     25.43882812	     96.30839068
      8.42000000	      1.49769678	   -176.23655904	      4.47949264	      0.09325672	      1.16698176	     -0.21142661	    -29.00566783	      2.63921428	      8.29093855	     63.85077236	     26.70717925	      4.17486316	     44.18883952	     53.09616373	    -40.55691084	     25.28505876	     96.76481149
      8.43000000	      1.45632123	   -176.23642690	      4.67335307	      0.09356348	      1.16694448	     -0.21144017	    -28.98410127	      2.76422856	      8.43461258	     63.86789180	     26.85760635	      4.20903121	     44.17107794	     53.21635474	    -40.53126686	     25.32293257	     96.78190322
      8.44000000	      1.58149558	   -176.35326111	      4.69721416	      0.09370456	      1.16693094	     -0.21117749	    -28.97506322	      2.90774413	      8.66061986	     63.89317180	     27.15151552	      4.24345270	     44.20578658	     53.44883184	    -40.31565513	     25.42870013	     96.93247843
      8.45000000	      1.52087189	   -176.35206470	      4.88710006	      0.09397279	      1.16694504	     -0.21123232	    -28.94749791	      3.03787062	      8.80037715	     63.92780020	     27.30054607	      4.28332468	     44.21007666	     53.56812135	    -40.26727031	     25.44993713	     96.96048801
      8.46000000	      1.58045143	   -176.59908325	      4.88560555	      0.09394562	      1.16696879	     -0.21100834	    -28.80521103	      3.20721791	      8.50146260	     64.15632902	     27.82997433	      4.90269830	     43.53786280	     53.71174426	    -39.29872396	     25.52941750	     99.01788268
      8.47000000	      1.53552465	   -176.59444446	      5.06684598	      0.09424088	      1.16699288	     -0.21103977	    -28.79262778	      3.32974109	      8.64593768	     64.19174389	     27.98288571	      4.94476015	     43.55061916	     53.83806256	    -39.27434072	     25.56080609	     99.02956528
      8.48000000	      1.67505295	   -176.72547320	      5.07880669	      0.09429190	      1.16704230	     -0.21067441	    -28.86130773	      3.46191002	      8.88893316	     64.27391977	     28.29150468	      5.00647233	     43.69045936	     54.08612435	    -39.12000750	     25.59579972	     99.11928069
      8.49000000	      1.62143686	   -176.72423945	      5.25943152	      0.09456910	      1.16710560	     -0.21073259	    -28.83884601	      3.58274768	      9.02927250	     64.32297464	     28.44026285	      5.05610886	     43.71669265	     54.20938331	    -39.08100980	     25.61024788	     99.13897433
      8.50000000	      1.76600765	   -176.92059539	      5.24828685	      0.09452834	      1.16722753	     -0.21030085	    -28.89980954	      3.69586452	      9.27893029	     64.44335800	     28.75713451	      5.15941545	     43.89542043	     54.47177425	    -38.85040511	     25.54937745	     99.28230218
      8.51000000	      1.71500313	   -176.91861605	      5.42949834	      0.09479402	      1.16730686	     -0.21037088	    -28.87228886	      3.81201711	      9.41443434	     64.50160345	     28.89879800	      5.21845922	     43.92502773	     54.59730400	    -38.80813209	     25.56240243	     99.30607862
      8.52000000	      1.84291655	   -177.15000300	      5.38670641	      0.09464993	      1.16747309	     -0.20999283	    -28.91293923	      3.93714024	      9.64592541	     64.64074460	     29.24616295	      5.40229117	     44.14319387	     54.87158297	    -38.41271089	     25.30988357	     99.63702813
      8.53000000	      1.81054160	   -177.16447170	      5.56473933	      0.09489589	      1.16758101	     -0.20998931	    -28.89801573	      4.03597824	      9.76873806	     64.71009060	     29.37085404	      5.47569974	     44.16997707	     55.01206551	    -38.38298453	     25.36074317	     99.65869519
      8.54000000	      1.96060390	   -177.41499934	      5.55049304	      0.09471637	      1.16777038	     -0.20950254	    -28.96117933	      4.11947495	      9.95767747	     64.91796663	     29.71298757	      5.70948779	     44.31284778	     55.25050831	    -38.05536209	     25.21774973	    100.04713884
      8.55000000	      2.04644444	   -177.51195364	      5.67704970	      0.09479613	      1.16787920	     -0.20925167	    -28.98875318	      4.17790668	     10.09791731	     65.03857839	     29.87945436	      5.84610547	     44.35248758	     55.45721325	    -37.99825542	     25.29322866	    100.13503743
      8.56000000	      2.14719797	   -177.66024590	      5.75041615	      0.09480896	      1.16805734	     -0.20893771	    -29.03331949	      4.23644059	     10.27925791	     65.22310575	     30.12513059	      5.99086636	     44.44936890	     55.63349433	    -37.87959733	     25.26882573	    100.27598376
      8.57000000	      2.24014493	   -177.80877667	      5.82506746	      0.09478172	      1.16825793	     -0.20862407	    -29.08818825	      4.28903084	     10.45142108	     65.43352990	     30.36650637	      6.15373389	     44.55730973	     55.80257798	    -37.75522419	     25.20556018	    100.43622670
      8.58000000	      2.33507361	   -177.94722275	      5.89661934	      0.09477384	      1.16846709	     -0.20833086	    -29.14749440	      4.33660285	     10.61908776	     65.65004755	     30.61251951	      6.32313585	     44.65839588	     55.95878751	    -37.63087651	     25.12576194	    100.61818450
      8.59000000	      2.43696158	   -178.07297912	      5.95769369	      0.09476609	      1.16866977	     -0.20808158	    -29.21372019	      4.38659047	     10.78314811	     65.89863257	     30.90355194	      6.51879787	     44.74852360	     56.08317723	    -37.48337786	     24.98993981	    100.89769963
      8.60000000	      2.55114655	   -178.10965160	      6.04036943	      0.09465124	      1.16881344	     -0.20773278	    -29.44068021	      4.48825042	     10.19435965	     66.35323216	     31.64021646	      7.36689204	     44.15380197	     56.02185937	    -37.25095966	     25.14901244	    103.53532230
      8.61000000	      2.63944476	   -178.31437282	      6.11521723	      0.09459888	      1.16908732	     -0.20734837	    -29.44962953	      4.48803904	     10.35067114	     66.54892873	     31.87370746	      7.48167329	     44.34067091	     56.18545032	    -37.24008313	     25.16985001	    103.58003866
      8.62000000	      2.75567664	   -178.49974587	      6.19389766	      0.09448059	      1.16932430	     -0.20697167	    -29.49559885	      4.49369963	     10.50902435	     66.78289962	     32.10690607	      7.62651067	     44.53793926	     56.35708640	    -37.21659962	     25.10305136	    103.64418000
      8.63000000	      2.86891064	   -178.67130595	      6.25982369	      0.09434810	      1.16959198	     -0.20660479	    -29.56147354	      4.49735709	     10.66700577	     67.03510208	     32.34433279	      7.77978468	     44.74338147	     56.51865085	    -37.18136771	     25.00836418	    103.72512013
      8.64000000	      2.98180003	   -178.83539351	      6.32342512	      0.09420208	      1.16985412	     -0.20624012	    -29.63831221	      4.49886196	     10.81898415	     67.29775776	     32.57807436	      7.93890930	     44.94795980	     56.67399553	    -37.14197266	     24.90594980	    103.81891246
      8.65000000	      3.09708656	   -179.00425882	      6.38739791	      0.09404684	      1.17011121	     -0.20584776	    -29.72356662	      4.49731842	     10.96482872	     67.57567420	     32.80782571	      8.10519516	     45.15589701	     56.82788648	    -37.09923736	     24.80451138	    103.92351801
      8.66000000	      3.22755806	   -179.16893420	      6.43424465	      0.09384553	      1.17037659	     -0.20549780	    -29.81102998	      4.48808989	     11.11720257	     67.87122985	     33.06628668	      8.27471235	     45.37032184	     56.95892577	    -37.05372028	     24.65404303	    104.06221161
      8.67000000	      3.35840452	   -179.31052078	      6.47334981	      0.09372505	      1.17066607	     -0.20521964	    -29.89829270	      4.48001372	     11.26487695	     68.17672821	     33.36450069	      8.44731883	     45.57861461	     57.06077585	    -37.01789483	     24.45446362	    104.26820178
      8.68000000	      3.39206813	   -179.44218552	      6.56152658	      0.09351984	      1.17096392	     -0.20486650	    -29.96328600	      4.48785773	     11.32135962	     68.42693295	     33.47440098	      8.60470187	     45.75415118	     57.22108572	    -36.99164002	     24.48717765	    104.35123508
      8.69000000	      3.54645825	   -179.64555022	      6.61096275	      0.09321549	      1.17115810	     -0.20441551	    -30.05393547	      4.46091942	     11.46129400	     68.74649548	     33.70932047	      8.78866160	     45.97259234	     57.37429117	    -36.93917294	     24.36982467	    104.49730784
      8.70000000	      3.63302043	   -179.81346846	      6.66352116	      0.09300570	      1.17144119	     -0.20405705	    -30.13102099	      4.45138812	     11.57115046	     69.05902628	     33.91653180	      8.95249312	     46.19151123	     57.49442824	    -36.88514994	     24.24984697	    104.64520563
      8.71000000	      3.75280648	   -179.98434750	      6.70775181	      0.09274364	      1.17168155	     -0.20370136	    -30.20946354	      4.43212815	     11.68693607	     69.38014741	     34.13962052	      9.12191145	     46.40821419	     57.61869683	    -36.83228100	     24.10525903	    104.81640479
      8.72000000	      3.88439793	   -180.12504052	      6.72393931	      0.09255879	      1.17193338	     -0.20348520	    -30.28857556	      4.41118481	     11.81160482	     69.73369210	     34.47266417	      9.28303730	     46.62897871	     57.67950427	    -36.78143551	     23.81994300	    105.15133309
      8.73000000	      3.88049964	   -180.18557443	      6.85030596	      0.09253180	      1.17207693	     -0.20334999	    -30.30201897	      4.46696125	     11.84229523	     69.92448987	     34.53608096	      9.38879552	     46.76610544	     57.80260792	    -36.75546305	     23.87981477	    105.20344472
