UNKNOWN
version=1
nRows=151
nColumns=139
inDegrees=no
endheader
time	simulation	anconeus_1	anconeus_2	anconeus_3	anconeus_4	anconeus_5	bic_b_1	bic_l	brachialis_1	brachialis_2	brachialis_3	brachialis_4	brachialis_5	brachialis_6	brachialis_7	brachiorad_1	brachiorad_2	brachiorad_3	coracobr_1	coracobr_2	coracobr_3	delt_clav_1	delt_clav_2	delt_clav_3	delt_clav_4	delt_scap10	delt_scap11	delt_scap_1	delt_scap_2	delt_scap_3	delt_scap_4	delt_scap_5	delt_scap_6	delt_scap_7	delt_scap_8	delt_scap_9	infra_1	infra_2	infra_3	infra_4	infra_5	infra_6	lat_dorsi_1	lat_dorsi_2	lat_dorsi_3	lat_dorsi_4	lat_dorsi_5	lat_dorsi_6	lev_scap_1	lev_scap_2	pect_maj_c_1	pect_maj_c_2	pect_maj_t_1	pect_maj_t_2	pect_maj_t_3	pect_maj_t_4	pect_maj_t_5	pect_maj_t_6	pect_min_1	pect_min_2	pect_min_3	pect_min_4	pron_quad_1	pron_quad_2	pron_quad_3	pron_teres_1	pron_teres_2	rhomboid_1	rhomboid_2	rhomboid_3	rhomboid_4	rhomboid_5	serr_ant10	serr_ant11	serr_ant12	serr_ant_1	serr_ant_2	serr_ant_3	serr_ant_4	serr_ant_5	serr_ant_6	serr_ant_7	serr_ant_8	serr_ant_9	subscap10	subscap11	subscap_1	subscap_2	subscap_3	subscap_4	subscap_5	subscap_6	subscap_7	subscap_8	subscap_9	supinator_1	supinator_2	supinator_3	supinator_4	supinator_5	supra_1	supra_2	supra_3	supra_4	ter_maj_1	ter_maj_2	ter_maj_3	ter_maj_4	ter_min_1	ter_min_2	ter_min_3	trap_clav_1	trap_clav_2	trap_scap10	trap_scap11	trap_scap_1	trap_scap_2	trap_scap_3	trap_scap_4	trap_scap_5	trap_scap_6	trap_scap_7	trap_scap_8	trap_scap_9	tric_lat_1	tric_lat_2	tric_lat_3	tric_lat_4	tric_lat_5	tric_long_1	tric_long_2	tric_long_3	tric_long_4	tric_med_1	tric_med_2	tric_med_3	tric_med_4	tric_med_5
      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00603511	      0.00416034	      0.00505207	      0.00445439	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00975235	      0.00771426	      0.00681301	      0.00666954	      0.00482073	      0.00342923	     -0.07011893	     -0.07502565	      0.00853771	      0.00795999	      0.00989491	      0.01120593	      0.01130151	      0.01175859	      0.01156187	      0.01073274	     -0.01460523	     -0.01420222	     -0.01828277	     -0.01093911	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.09036104	     -0.08338998	     -0.07935190	     -0.08453669	     -0.08234691	             nan	     -0.06572756	     -0.06317941	     -0.00237242	     -0.00252132	     -0.00453163	     -0.00840907	     -0.01368044	     -0.02361094	     -0.04358908	     -0.05655704	     -0.06370248	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.03283822	     -0.03055729	     -0.02494438	     -0.04365771	     -0.05903598	     -0.06781219	     -0.06757602	     -0.07105822	     -0.05535192	     -0.05864138	     -0.03706133	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000
      1.00000000	      0.01000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00607951	      0.00420720	      0.00509140	      0.00450184	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00973460	      0.00769671	      0.00679628	      0.00665435	      0.00480744	      0.00341509	     -0.07015697	     -0.07507541	      0.00859973	      0.00796897	      0.00992411	      0.01125004	      0.01135658	      0.01179406	      0.01157633	      0.01076511	     -0.01477633	     -0.01434966	     -0.01843903	     -0.01109480	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.09050742	     -0.08354139	     -0.07952318	     -0.08474824	     -0.08261093	             nan	     -0.06571131	     -0.06317017	     -0.00250452	     -0.00264827	     -0.00464872	     -0.00851854	     -0.01378815	     -0.02370833	     -0.04364307	     -0.05658823	     -0.06370960	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.03294928	     -0.03063924	     -0.02495075	     -0.04367569	     -0.05908931	     -0.06789190	     -0.06769569	     -0.07115823	     -0.05550557	     -0.05876862	     -0.03720820	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      2.00000000	      0.02000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00613950	      0.00427288	      0.00514780	      0.00456846	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00972398	      0.00768409	      0.00678359	      0.00664393	      0.00479827	      0.00340638	     -0.07018965	     -0.07511689	      0.00870237	      0.00801324	      0.01000076	      0.01134484	      0.01146395	      0.01188011	      0.01163549	      0.01084212	     -0.01490663	     -0.01445852	     -0.01855446	     -0.01121077	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.09062017	     -0.08365731	     -0.07965193	     -0.08490639	     -0.08280658	             nan	     -0.06569129	     -0.06315593	     -0.00259763	     -0.00273764	     -0.00473094	     -0.00859537	     -0.01386401	     -0.02377750	     -0.04368079	     -0.05660710	     -0.06370880	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.03302636	     -0.03069582	     -0.02495417	     -0.04368726	     -0.05912861	     -0.06795188	     -0.06778761	     -0.07123471	     -0.05562198	     -0.05886419	     -0.03731192	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000
      3.00000000	      0.03000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00621416	      0.00435648	      0.00522037	      0.00465335	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00971963	      0.00767567	      0.00677430	      0.00663763	      0.00479271	      0.00340256	     -0.07021743	     -0.07515089	      0.00884356	      0.00809087	      0.01012216	      0.01148748	      0.01162068	      0.01201384	      0.01173677	      0.01096122	     -0.01500001	     -0.01453236	     -0.01863273	     -0.01129052	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.09070275	     -0.08374151	     -0.07974277	     -0.08501695	     -0.08294131	             nan	     -0.06566827	     -0.06313744	     -0.00265787	     -0.00279536	     -0.00478390	     -0.00864480	     -0.01391300	     -0.02382276	     -0.04370489	     -0.05661568	     -0.06370147	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.03307368	     -0.03073033	     -0.02495494	     -0.04369308	     -0.05915536	     -0.06799419	     -0.06785470	     -0.07129018	     -0.05570518	     -0.05893174	     -0.03737761	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000
      4.00000000	      0.04000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00630258	      0.00445711	      0.00530828	      0.00475562	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00972069	      0.00767068	      0.00676774	      0.00663481	      0.00479028	      0.00340310	     -0.07024068	     -0.07517816	      0.00902132	      0.00819996	      0.01028566	      0.01167517	      0.01182389	      0.01219249	      0.01187766	      0.01111999	     -0.01506004	     -0.01457450	     -0.01867725	     -0.01133735	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.09075834	     -0.08379741	     -0.07979989	     -0.08508516	     -0.08302189	             nan	     -0.06564284	     -0.06311534	     -0.00269050	     -0.00282653	     -0.00481235	     -0.00867124	     -0.01393931	     -0.02384774	     -0.04371753	     -0.05661562	     -0.06368870	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.03309510	     -0.03074576	     -0.02495334	     -0.04369376	     -0.05917090	     -0.06802071	     -0.06789961	     -0.07132691	     -0.05575891	     -0.05897462	     -0.03740999	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      5.00000000	      0.05000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00640382	      0.00457392	      0.00541070	      0.00487443	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00972626	      0.00766837	      0.00676326	      0.00663484	      0.00479050	      0.00340750	     -0.07025978	     -0.07519937	      0.00923377	      0.00833873	      0.01048871	      0.01190518	      0.01207080	      0.01241332	      0.01205573	      0.01131605	     -0.01509007	     -0.01458805	     -0.01869119	     -0.01135427	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.09078984	     -0.08382814	     -0.07982712	     -0.08511584	     -0.08305453	             nan	     -0.06561545	     -0.06309013	     -0.00270003	     -0.00283547	     -0.00482035	     -0.00867846	     -0.01394649	     -0.02385552	     -0.04372053	     -0.05660825	     -0.06367136	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.03309415	     -0.03074484	     -0.02494962	     -0.04368987	     -0.05917647	     -0.06803320	     -0.06792480	     -0.07134701	     -0.05578665	     -0.05899588	     -0.03741340	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      6.00000000	      0.06000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00651701	      0.00470609	      0.00552684	      0.00500898	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00973548	      0.00766799	      0.00676021	      0.00663711	      0.00479294	      0.00341533	     -0.07027506	     -0.07521512	      0.00947910	      0.00850546	      0.01072879	      0.01217488	      0.01235869	      0.01267372	      0.01226863	      0.01154714	     -0.01509321	     -0.01457589	     -0.01867745	     -0.01134414	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.09079989	     -0.08383656	     -0.07982797	     -0.08511339	     -0.08304495	             nan	     -0.06558644	     -0.06306219	     -0.00269041	     -0.00282601	     -0.00481141	     -0.00866972	     -0.01393764	     -0.02384876	     -0.04371538	     -0.05659470	     -0.06365017	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.03307412	     -0.03073008	     -0.02494401	     -0.04368190	     -0.05917320	     -0.06803324	     -0.06793257	     -0.07135241	     -0.05579161	     -0.05899837	     -0.03739188	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000
      7.00000000	      0.07000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00664123	      0.00485285	      0.00565591	      0.00515847	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00974751	      0.00766883	      0.00675798	      0.00664103	      0.00479716	      0.00342615	     -0.07028681	     -0.07522598	      0.00975558	      0.00869849	      0.01100347	      0.01248170	      0.01268495	      0.01297114	      0.01251410	      0.01181106	     -0.01507236	     -0.01454072	     -0.01863875	     -0.01130957	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.09079094	     -0.08382529	     -0.07980566	     -0.08508186	     -0.08299836	             nan	     -0.06555608	     -0.06303185	     -0.00266515	     -0.00280148	     -0.00478864	     -0.00864787	     -0.01391546	     -0.02382977	     -0.04370338	     -0.05657590	     -0.06362569	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.03303802	     -0.03070382	     -0.02493674	     -0.04367033	     -0.05916216	     -0.06802232	     -0.06792501	     -0.07134488	     -0.05577678	     -0.05898471	     -0.03734915	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      8.00000000	      0.08000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00677561	      0.00501344	      0.00579717	      0.00532217	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00976155	      0.00767020	      0.00675598	      0.00664602	      0.00480276	      0.00343958	     -0.07029529	     -0.07523246	      0.01006154	      0.00891625	      0.01131036	      0.01282314	      0.01304700	      0.01330311	      0.01278993	      0.01210569	     -0.01503023	     -0.01448507	     -0.01857763	     -0.01125304	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.09076520	     -0.08379674	     -0.07976314	     -0.08502495	     -0.08291961	             nan	     -0.06552458	     -0.06299937	     -0.00262739	     -0.00276489	     -0.00475482	     -0.00861546	     -0.01388234	     -0.02380063	     -0.04368562	     -0.05655262	     -0.06359838	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.03298864	     -0.03066818	     -0.02492798	     -0.04365561	     -0.05914431	     -0.06800181	     -0.06790409	     -0.07132607	     -0.05574498	     -0.05895734	     -0.03728868	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000
      9.00000000	      0.09000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00691928	      0.00518714	      0.00594986	      0.00549935	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00977681	      0.00767145	      0.00675366	      0.00665157	      0.00480938	      0.00345525	     -0.07030075	     -0.07523503	      0.01039538	      0.00915722	      0.01164717	      0.01319679	      0.01344238	      0.01366725	      0.01309402	      0.01242898	     -0.01496934	     -0.01441128	     -0.01849643	     -0.01117683	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.09072475	     -0.08375309	     -0.07970312	     -0.08494607	     -0.08281314	             nan	     -0.06549209	     -0.06296495	     -0.00258000	     -0.00271899	     -0.00471244	     -0.00857477	     -0.01384043	     -0.02376316	     -0.04366308	     -0.05652555	     -0.06356863	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.03292859	     -0.03062516	     -0.02491794	     -0.04363814	     -0.05912056	     -0.06797298	     -0.06787163	     -0.07129752	     -0.05569882	     -0.05891855	     -0.03721370	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000
