UNKNOWN
version=1
nRows=151
nColumns=139
inDegrees=no
endheader
time	simulation	anconeus_1	anconeus_2	anconeus_3	anconeus_4	anconeus_5	bic_b_1	bic_l	brachialis_1	brachialis_2	brachialis_3	brachialis_4	brachialis_5	brachialis_6	brachialis_7	brachiorad_1	brachiorad_2	brachiorad_3	coracobr_1	coracobr_2	coracobr_3	delt_clav_1	delt_clav_2	delt_clav_3	delt_clav_4	delt_scap10	delt_scap11	delt_scap_1	delt_scap_2	delt_scap_3	delt_scap_4	delt_scap_5	delt_scap_6	delt_scap_7	delt_scap_8	delt_scap_9	infra_1	infra_2	infra_3	infra_4	infra_5	infra_6	lat_dorsi_1	lat_dorsi_2	lat_dorsi_3	lat_dorsi_4	lat_dorsi_5	lat_dorsi_6	lev_scap_1	lev_scap_2	pect_maj_c_1	pect_maj_c_2	pect_maj_t_1	pect_maj_t_2	pect_maj_t_3	pect_maj_t_4	pect_maj_t_5	pect_maj_t_6	pect_min_1	pect_min_2	pect_min_3	pect_min_4	pron_quad_1	pron_quad_2	pron_quad_3	pron_teres_1	pron_teres_2	rhomboid_1	rhomboid_2	rhomboid_3	rhomboid_4	rhomboid_5	serr_ant10	serr_ant11	serr_ant12	serr_ant_1	serr_ant_2	serr_ant_3	serr_ant_4	serr_ant_5	serr_ant_6	serr_ant_7	serr_ant_8	serr_ant_9	subscap10	subscap11	subscap_1	subscap_2	subscap_3	subscap_4	subscap_5	subscap_6	subscap_7	subscap_8	subscap_9	supinator_1	supinator_2	supinator_3	supinator_4	supinator_5	supra_1	supra_2	supra_3	supra_4	ter_maj_1	ter_maj_2	ter_maj_3	ter_maj_4	ter_min_1	ter_min_2	ter_min_3	trap_clav_1	trap_clav_2	trap_scap10	trap_scap11	trap_scap_1	trap_scap_2	trap_scap_3	trap_scap_4	trap_scap_5	trap_scap_6	trap_scap_7	trap_scap_8	trap_scap_9	tric_lat_1	tric_lat_2	tric_lat_3	tric_lat_4	tric_lat_5	tric_long_1	tric_long_2	tric_long_3	tric_long_4	tric_med_1	tric_med_2	tric_med_3	tric_med_4	tric_med_5
      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00965854	      0.01378591	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00587460	      0.00588055	      0.00654734	      0.00902244	      0.01030324	      0.01008350	      0.01046361	     -0.00642919	     -0.00271891	     -0.00739508	     -0.00803594	     -0.01023129	     -0.01114239	     -0.01021852	     -0.01089901	     -0.00983279	     -0.00841903	     -0.00815531	     -0.00925585	     -0.00504119	     -0.00574549	     -0.00610598	     -0.00554579	     -0.00899329	      0.01561754	      0.01319231	      0.01117119	      0.00910954	      0.00590924	      0.00516052	      0.00000000	      0.00000000	      0.02083193	      0.01724609	      0.02511955	      0.02859745	      0.03012256	      0.02837901	      0.02558983	      0.02544628	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01355334	      0.00886684	      0.01619914	      0.00610324	      0.01832271	      0.02252466	      0.02107726	      0.02335742	      0.02107507	      0.02173805	      0.01796888	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00283946	     -0.00553251	      0.01325686	      0.01379887	      0.00695200	      0.00729946	      0.00517846	      0.00793113	     -0.00927274	     -0.00944362	     -0.01020916	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00651825	     -0.00227504	     -0.00449361	     -0.00227504	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000
      1.00000000	      0.01000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00974716	      0.01379607	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00594850	      0.00596656	      0.00663673	      0.00906098	      0.01036609	      0.01013535	      0.01052759	     -0.00646395	     -0.00272378	     -0.00740434	     -0.00806415	     -0.01028472	     -0.01120099	     -0.01027610	     -0.01096713	     -0.00990349	     -0.00847586	     -0.00820605	     -0.00922671	     -0.00501292	     -0.00571571	     -0.00607781	     -0.00551924	     -0.00896065	      0.01562872	      0.01319966	      0.01117405	      0.00910378	      0.00590072	      0.00515279	      0.00000000	      0.00000000	      0.02093968	      0.01729715	      0.02521561	      0.02871766	      0.03025854	      0.02848795	      0.02566884	      0.02554196	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01353232	      0.00883457	      0.01617340	      0.00606108	      0.01831746	      0.02253695	      0.02107463	      0.02336787	      0.02107730	      0.02174393	      0.01796458	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00279211	     -0.00548319	      0.01327842	      0.01381368	      0.00692548	      0.00727837	      0.00513909	      0.00790137	     -0.00926447	     -0.00943474	     -0.01020097	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00654996	     -0.00227124	     -0.00451509	     -0.00227124	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000
      2.00000000	      0.02000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00985644	      0.01380463	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00603828	      0.00606998	      0.00674443	      0.00911076	      0.01044326	      0.01020059	      0.01060714	     -0.00650579	     -0.00272901	     -0.00741839	     -0.00810121	     -0.01034957	     -0.01127184	     -0.01034465	     -0.01104779	     -0.00998717	     -0.00854243	     -0.00826748	     -0.00921112	     -0.00499786	     -0.00569893	     -0.00606266	     -0.00550716	     -0.00894185	      0.01563440	      0.01320182	      0.01117417	      0.00909998	      0.00589727	      0.00515398	      0.00000000	      0.00000000	      0.02108548	      0.01738037	      0.02536236	      0.02888862	      0.03044443	      0.02864523	      0.02578751	      0.02567641	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01351042	      0.00880575	      0.01616195	      0.00603585	      0.01831682	      0.02254525	      0.02107153	      0.02337355	      0.02107855	      0.02174706	      0.01796131	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00276236	     -0.00544744	      0.01329026	      0.01381924	      0.00690402	      0.00726184	      0.00510026	      0.00787465	     -0.00925799	     -0.00942809	     -0.01019531	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00658312	     -0.00226455	     -0.00453747	     -0.00226455	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000
      3.00000000	      0.03000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00998537	      0.01381174	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00614319	      0.00618997	      0.00686959	      0.00917099	      0.01053405	      0.01027847	      0.01070150	     -0.00655426	     -0.00273456	     -0.00743701	     -0.00814667	     -0.01042530	     -0.01135433	     -0.01042362	     -0.01114042	     -0.01008325	     -0.00861824	     -0.00833897	     -0.00920823	     -0.00499520	     -0.00569435	     -0.00605973	     -0.00550867	     -0.00893602	      0.01563527	      0.01319948	      0.01117207	      0.00909827	      0.00589882	      0.00516383	      0.00000000	      0.00000000	      0.02126726	      0.01749384	      0.02555689	      0.02910743	      0.03067740	      0.02884805	      0.02594352	      0.02584743	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01348767	      0.00878014	      0.01616395	      0.00602653	      0.01832056	      0.02254987	      0.02106797	      0.02337479	      0.02107892	      0.02174766	      0.01795900	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00274903	     -0.00542437	      0.01329298	      0.01381613	      0.00688722	      0.00724950	      0.00506186	      0.00785071	     -0.00925320	     -0.00942352	     -0.01019203	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00661776	     -0.00225518	     -0.00456075	     -0.00225518	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000
      4.00000000	      0.04000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.01013294	      0.01381752	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00626248	      0.00632572	      0.00701137	      0.00924091	      0.01063775	      0.01036823	      0.01080990	     -0.00660892	     -0.00274041	     -0.00745994	     -0.00820007	     -0.01051132	     -0.01144788	     -0.01051243	     -0.01124443	     -0.01019111	     -0.00870279	     -0.00841992	     -0.00921725	     -0.00500416	     -0.00570119	     -0.00606825	     -0.00552295	     -0.00894235	      0.01563187	      0.01319325	      0.01116821	      0.00909869	      0.00590528	      0.00518207	      0.00000000	      0.00000000	      0.02148292	      0.01763569	      0.02579620	      0.02937112	      0.03095456	      0.02909357	      0.02613452	      0.02605279	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01346410	      0.00875751	      0.01617855	      0.00603210	      0.01832842	      0.02255106	      0.02106392	      0.02337188	      0.02107845	      0.02174587	      0.01795759	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00275100	     -0.00541312	      0.01328717	      0.01380486	      0.00687474	      0.00724103	      0.00502383	      0.00782933	     -0.00924997	     -0.00942090	     -0.01019096	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00665384	     -0.00224329	     -0.00458494	     -0.00224329	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000
      5.00000000	      0.05000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.01029817	      0.01382211	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00639543	      0.00647645	      0.00716893	      0.00931970	      0.01075364	      0.01046911	      0.01093155	     -0.00666934	     -0.00274655	     -0.00748689	     -0.00826093	     -0.01060708	     -0.01155187	     -0.01061053	     -0.01135925	     -0.01031016	     -0.00879560	     -0.00850973	     -0.00923742	     -0.00502400	     -0.00571871	     -0.00608750	     -0.00554920	     -0.00896004	      0.01562472	      0.01318364	      0.01116295	      0.00910123	      0.00591654	      0.00520839	      0.00000000	      0.00000000	      0.02173042	      0.01780407	      0.02607721	      0.02967664	      0.03127294	      0.02937893	      0.02635816	      0.02629024	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01343973	      0.00873763	      0.01620488	      0.00605158	      0.01834014	      0.02254902	      0.02105939	      0.02336507	      0.02107718	      0.02174181	      0.01795697	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00276713	     -0.00541284	      0.01327334	      0.01378590	      0.00686626	      0.00723618	      0.00498615	      0.00781032	     -0.00924820	     -0.00942007	     -0.01019192	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00669131	     -0.00222901	     -0.00460999	     -0.00222901	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000
      6.00000000	      0.06000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.01048008	      0.01382559	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00654134	      0.00664138	      0.00734147	      0.00940658	      0.01088102	      0.01058035	      0.01106570	     -0.00673510	     -0.00275295	     -0.00751757	     -0.00832874	     -0.01071201	     -0.01166570	     -0.01071735	     -0.01148428	     -0.01043980	     -0.00889619	     -0.00860780	     -0.00926802	     -0.00505399	     -0.00574621	     -0.00611678	     -0.00558667	     -0.00898835	      0.01561426	      0.01317114	      0.01115664	      0.00910589	      0.00593248	      0.00524249	      0.00000000	      0.00000000	      0.02200772	      0.01799713	      0.02639684	      0.03002097	      0.03162960	      0.02970124	      0.02661207	      0.02655754	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01341457	      0.00872027	      0.01624208	      0.00608400	      0.01835540	      0.02254395	      0.02105433	      0.02335458	      0.02107508	      0.02173559	      0.01795704	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00279636	     -0.00542270	      0.01325197	      0.01375969	      0.00686147	      0.00723467	      0.00494878	      0.00779348	     -0.00924778	     -0.00942090	     -0.01019478	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00673009	     -0.00221247	     -0.00463586	     -0.00221247	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000
      7.00000000	      0.07000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.01067772	      0.01382805	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00669949	      0.00681977	      0.00752820	      0.00950076	      0.01101919	      0.01070118	      0.01121157	     -0.00680579	     -0.00275960	     -0.00755166	     -0.00840302	     -0.01082552	     -0.01178877	     -0.01083234	     -0.01161894	     -0.01057944	     -0.00900408	     -0.00871354	     -0.00930833	     -0.00509345	     -0.00578300	     -0.00615543	     -0.00563464	     -0.00902656	      0.01560089	      0.01315616	      0.01114957	      0.00911263	      0.00595299	      0.00528408	      0.00000000	      0.00000000	      0.02231282	      0.01821309	      0.02675203	      0.03040107	      0.03202158	      0.03005766	      0.02689393	      0.02685249	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01338862	      0.00870520	      0.01628927	      0.00612842	      0.01837391	      0.02253599	      0.02104871	      0.02334059	      0.02107215	      0.02172727	      0.01795765	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00283762	     -0.00544189	      0.01322352	      0.01372661	      0.00686011	      0.00723627	      0.00491175	      0.00777863	     -0.00924863	     -0.00942329	     -0.01019939	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00677010	     -0.00219379	     -0.00466250	     -0.00219379	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000
      8.00000000	      0.08000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.01089015	      0.01382958	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00686923	      0.00701088	      0.00772835	      0.00960144	      0.01116743	      0.01083084	      0.01136842	     -0.00688100	     -0.00276648	     -0.00758885	     -0.00848329	     -0.01094707	     -0.01192048	     -0.01095494	     -0.01176266	     -0.01072850	     -0.00911878	     -0.00882638	     -0.00935770	     -0.00514173	     -0.00582845	     -0.00620281	     -0.00569243	     -0.00907397	      0.01558499	      0.01313911	      0.01114203	      0.00912140	      0.00597794	      0.00533285	      0.00000000	      0.00000000	      0.02264378	      0.01845020	      0.02713973	      0.03081394	      0.03244597	      0.03044538	      0.02720145	      0.02717289	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01336188	      0.00869222	      0.01634561	      0.00618393	      0.01839534	      0.02252529	      0.02104249	      0.02332326	      0.02106835	      0.02171690	      0.01795868	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00288991	     -0.00546964	      0.01318839	      0.01368705	      0.00686190	      0.00724076	      0.00487505	      0.00776560	     -0.00925065	     -0.00942711	     -0.01020561	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00681122	     -0.00217306	     -0.00468984	     -0.00217306	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000
      9.00000000	      0.09000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01111647	      0.01383025	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00704989	      0.00721400	      0.00794117	      0.00970784	      0.01132508	      0.01096859	      0.01153551	     -0.00696034	     -0.00277358	     -0.00762883	     -0.00856906	     -0.01107610	     -0.01206026	     -0.01108463	     -0.01191487	     -0.01088641	     -0.00923985	     -0.00894574	     -0.00941546	     -0.00519820	     -0.00588193	     -0.00625831	     -0.00575938	     -0.00912993	      0.01556692	      0.01312037	      0.01113427	      0.00913216	      0.00600724	      0.00538854	      0.00000000	      0.00000000	      0.02299868	      0.01870675	      0.02755695	      0.03125665	      0.03289991	      0.03086164	      0.02753240	      0.02751661	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01333436	      0.00868111	      0.01641026	      0.00624965	      0.01841939	      0.02251197	      0.02103562	      0.02330275	      0.02106362	      0.02170453	      0.01795998	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00295225	     -0.00550521	      0.01314698	      0.01364134	      0.00686657	      0.00724792	      0.00483868	      0.00775422	     -0.00925376	     -0.00943225	     -0.01021332	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00685336	     -0.00215040	     -0.00471782	     -0.00215040	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000
