UNKNOWN
version=1
nRows=151
nColumns=139
inDegrees=no
endheader
time	simulation	anconeus_1	anconeus_2	anconeus_3	anconeus_4	anconeus_5	bic_b_1	bic_l	brachialis_1	brachialis_2	brachialis_3	brachialis_4	brachialis_5	brachialis_6	brachialis_7	brachiorad_1	brachiorad_2	brachiorad_3	coracobr_1	coracobr_2	coracobr_3	delt_clav_1	delt_clav_2	delt_clav_3	delt_clav_4	delt_scap10	delt_scap11	delt_scap_1	delt_scap_2	delt_scap_3	delt_scap_4	delt_scap_5	delt_scap_6	delt_scap_7	delt_scap_8	delt_scap_9	infra_1	infra_2	infra_3	infra_4	infra_5	infra_6	lat_dorsi_1	lat_dorsi_2	lat_dorsi_3	lat_dorsi_4	lat_dorsi_5	lat_dorsi_6	lev_scap_1	lev_scap_2	pect_maj_c_1	pect_maj_c_2	pect_maj_t_1	pect_maj_t_2	pect_maj_t_3	pect_maj_t_4	pect_maj_t_5	pect_maj_t_6	pect_min_1	pect_min_2	pect_min_3	pect_min_4	pron_quad_1	pron_quad_2	pron_quad_3	pron_teres_1	pron_teres_2	rhomboid_1	rhomboid_2	rhomboid_3	rhomboid_4	rhomboid_5	serr_ant10	serr_ant11	serr_ant12	serr_ant_1	serr_ant_2	serr_ant_3	serr_ant_4	serr_ant_5	serr_ant_6	serr_ant_7	serr_ant_8	serr_ant_9	subscap10	subscap11	subscap_1	subscap_2	subscap_3	subscap_4	subscap_5	subscap_6	subscap_7	subscap_8	subscap_9	supinator_1	supinator_2	supinator_3	supinator_4	supinator_5	supra_1	supra_2	supra_3	supra_4	ter_maj_1	ter_maj_2	ter_maj_3	ter_maj_4	ter_min_1	ter_min_2	ter_min_3	trap_clav_1	trap_clav_2	trap_scap10	trap_scap11	trap_scap_1	trap_scap_2	trap_scap_3	trap_scap_4	trap_scap_5	trap_scap_6	trap_scap_7	trap_scap_8	trap_scap_9	tric_lat_1	tric_lat_2	tric_lat_3	tric_lat_4	tric_lat_5	tric_long_1	tric_long_2	tric_long_3	tric_long_4	tric_med_1	tric_med_2	tric_med_3	tric_med_4	tric_med_5
      0.00000000	      0.00000000	      0.01919128	      0.01835413	      0.02174527	      0.04811876	      0.03260039	      0.33901307	      0.36058973	      0.18409814	      0.17553280	      0.14107273	      0.13826518	      0.10549260	      0.09311732	      0.09091329	      0.31994757	      0.30555604	      0.29106785	      0.16452973	      0.17939016	      0.19356379	      0.14685311	      0.18274857	      0.15882967	      0.17267553	      0.13680743	      0.12611243	      0.18563700	      0.15971131	      0.14161995	      0.11685289	      0.10759601	      0.14609001	      0.16114147	      0.14087740	      0.14900482	      0.09405085	      0.17635953	      0.15151361	      0.14155939	      0.12716518	      0.11207800	      0.18740255	      0.21103090	      0.24295765	      0.28463029	      0.24400134	      0.21783190	      0.19094973	      0.15751591	      0.17504943	      0.13298061	      0.14714616	      0.17309080	      0.18672198	      0.18168487	      0.18587522	      0.19055872	      0.10674069	      0.12396808	      0.10096422	      0.11262196	      0.03645664	      0.02957752	      0.02854742	      0.15568465	      0.08448002	      0.12983886	      0.17742300	      0.15771275	      0.14820538	      0.13186952	      0.08474191	      0.08122860	      0.07255429	      0.18010606	      0.19302490	      0.19887135	      0.19933066	      0.19569932	      0.18592749	      0.15103631	      0.12314475	      0.10460445	      0.05506972	      0.03885574	      0.06601428	      0.09365275	      0.10623648	      0.10776194	      0.10873342	      0.13269244	      0.12826840	      0.08631686	      0.10600780	      0.02025317	      0.01832297	      0.01801573	      0.01750620	      0.01818774	      0.09106689	      0.09579272	      0.10915410	      0.08593301	      0.10469529	      0.12574984	      0.11812998	      0.09606649	      0.10224668	      0.11787937	      0.07799193	      0.18181429	      0.16683634	      0.15341667	      0.18161364	      0.17447151	      0.16364045	      0.14147707	      0.12936889	      0.11520928	      0.12203303	      0.10859388	      0.11534897	      0.12617459	      0.23182421	      0.23452169	      0.23871156	      0.19893237	      0.19433740	      0.30859954	      0.30707835	      0.30930035	      0.30707835	      0.15530080	      0.17907930	      0.06400392	      0.10285654	      0.14614019
      1.00000000	      0.01000000	      0.01919080	      0.01835369	      0.02174474	      0.04811857	      0.03260012	      0.33900392	      0.36055108	      0.18409879	      0.17553351	      0.14107348	      0.13826581	      0.10549328	      0.09311800	      0.09091388	      0.31994898	      0.30555699	      0.29106881	      0.16452623	      0.17940190	      0.19356012	      0.14681692	      0.18273581	      0.15880628	      0.17265980	      0.13675189	      0.12604314	      0.18576995	      0.15979236	      0.14165415	      0.11687534	      0.10757618	      0.14609433	      0.16113782	      0.14085112	      0.14896759	      0.09405507	      0.17635113	      0.15150314	      0.14153338	      0.12712662	      0.11205189	      0.18716514	      0.21081780	      0.24276694	      0.28446706	      0.24388573	      0.21774593	      0.19102685	      0.15759426	      0.17503307	      0.13295604	      0.14718246	      0.17311651	      0.18673890	      0.18169924	      0.18586540	      0.19054674	      0.10681083	      0.12404137	      0.10107650	      0.11270428	      0.03645664	      0.02957752	      0.02854742	      0.15568494	      0.08448002	      0.12985641	      0.17742764	      0.15771244	      0.14818386	      0.13182279	      0.08499490	      0.08148578	      0.07281086	      0.18045842	      0.19338348	      0.19922806	      0.19967402	      0.19601677	      0.18619704	      0.15127285	      0.12338731	      0.10485760	      0.05508707	      0.03890196	      0.06597619	      0.09364681	      0.10617747	      0.10771230	      0.10868128	      0.13264884	      0.12822708	      0.08627582	      0.10597713	      0.02025317	      0.01832297	      0.01801573	      0.01750620	      0.01818774	      0.09101400	      0.09574659	      0.10908102	      0.08585821	      0.10485027	      0.12594972	      0.11830741	      0.09617732	      0.10229980	      0.11792136	      0.07803180	      0.18173791	      0.16672743	      0.15341094	      0.18162014	      0.17437896	      0.16357356	      0.14142889	      0.12932904	      0.11516198	      0.12197560	      0.10851501	      0.11529200	      0.12615778	      0.23182294	      0.23452039	      0.23871045	      0.19893127	      0.19433630	      0.30871669	      0.30716154	      0.30938397	      0.30716154	      0.15529968	      0.17907816	      0.06400289	      0.10285540	      0.14613905
      2.00000000	      0.02000000	      0.01918949	      0.01835248	      0.02174328	      0.04811804	      0.03259936	      0.33899385	      0.36051742	      0.18410057	      0.17553547	      0.14107556	      0.13826755	      0.10549515	      0.09311987	      0.09091551	      0.31995285	      0.30555958	      0.29107146	      0.16451843	      0.17941112	      0.19355107	      0.14677717	      0.18272214	      0.15878078	      0.17264201	      0.13668344	      0.12595753	      0.18592352	      0.15988549	      0.14169151	      0.11689818	      0.10754900	      0.14609658	      0.16113181	      0.14081821	      0.14892111	      0.09404925	      0.17633472	      0.15148343	      0.14149503	      0.12707472	      0.11201081	      0.18701833	      0.21069937	      0.24266464	      0.28437630	      0.24382663	      0.21771155	      0.19109049	      0.15765711	      0.17501381	      0.13292943	      0.14723315	      0.17315961	      0.18677636	      0.18172802	      0.18586738	      0.19054573	      0.10687117	      0.12410640	      0.10117500	      0.11277854	      0.03645664	      0.02957752	      0.02854742	      0.15568572	      0.08448002	      0.12986363	      0.17742653	      0.15770835	      0.14816128	      0.13177995	      0.08520445	      0.08169958	      0.07302489	      0.18073566	      0.19366727	      0.19951200	      0.19994899	      0.19627245	      0.18641529	      0.15146557	      0.12358671	      0.10506697	      0.05512545	      0.03896866	      0.06594736	      0.09364564	      0.10612625	      0.10767825	      0.10864366	      0.13262508	      0.12820450	      0.08625375	      0.10596411	      0.02025317	      0.01832297	      0.01801573	      0.01750620	      0.01818774	      0.09094763	      0.09568482	      0.10900669	      0.08578271	      0.10504503	      0.12619784	      0.11852884	      0.09632132	      0.10235202	      0.11796010	      0.07806792	      0.18166883	      0.16663043	      0.15339292	      0.18161307	      0.17429334	      0.16350838	      0.14137867	      0.12928525	      0.11511147	      0.12191462	      0.10843568	      0.11522952	      0.12612999	      0.23181943	      0.23451682	      0.23870740	      0.19892824	      0.19433327	      0.30885077	      0.30725530	      0.30947902	      0.30725530	      0.15529658	      0.17907503	      0.06400007	      0.10285227	      0.14613591
      3.00000000	      0.03000000	      0.01918742	      0.01835058	      0.02174098	      0.04811721	      0.03259817	      0.33898274	      0.36048825	      0.18410337	      0.17553856	      0.14107885	      0.13827028	      0.10549810	      0.09312281	      0.09091809	      0.31995895	      0.30556368	      0.29107564	      0.16450654	      0.17941800	      0.19353691	      0.14673387	      0.18270763	      0.15875327	      0.17262229	      0.13660260	      0.12585634	      0.18609664	      0.15999003	      0.14173181	      0.11692134	      0.10751475	      0.14609677	      0.16112344	      0.14077885	      0.14886572	      0.09403391	      0.17631066	      0.15145493	      0.14144492	      0.12701011	      0.11195552	      0.18695618	      0.21066957	      0.24264516	      0.28435347	      0.24382059	      0.21772575	      0.19114224	      0.15770624	      0.17499205	      0.13290097	      0.14729833	      0.17322004	      0.18683409	      0.18177114	      0.18588089	      0.19055544	      0.10692251	      0.12416382	      0.10126076	      0.11284534	      0.03645664	      0.02957752	      0.02854742	      0.15568697	      0.08448002	      0.12986216	      0.17742101	      0.15770157	      0.14813863	      0.13174157	      0.08537438	      0.08187383	      0.07320008	      0.18094340	      0.19388181	      0.19972855	      0.20016061	      0.19647091	      0.18658607	      0.15161805	      0.12374658	      0.10523637	      0.05518374	      0.03905475	      0.06592725	      0.09364902	      0.10608224	      0.10765880	      0.10861958	      0.13261996	      0.12819954	      0.08624952	      0.10596771	      0.02025317	      0.01832297	      0.01801573	      0.01750620	      0.01818774	      0.09086848	      0.09560826	      0.10893098	      0.08570634	      0.10527763	      0.12649184	      0.11879204	      0.09649686	      0.10240343	      0.11799579	      0.07810054	      0.18160637	      0.16654441	      0.15336410	      0.18159405	      0.17421434	      0.16344517	      0.14132710	      0.12923843	      0.11505860	      0.12185113	      0.10835656	      0.11516270	      0.12609255	      0.23181390	      0.23451118	      0.23870258	      0.19892345	      0.19432848	      0.30900118	      0.30735934	      0.30958516	      0.30735934	      0.15529170	      0.17907009	      0.06399561	      0.10284734	      0.14613096
      4.00000000	      0.04000000	      0.01918466	      0.01834804	      0.02173791	      0.04811611	      0.03259659	      0.33897044	      0.36046306	      0.18410710	      0.17554268	      0.14108322	      0.13827393	      0.10550203	      0.09312673	      0.09092153	      0.31996708	      0.30556914	      0.29108121	      0.16449072	      0.17942265	      0.19351785	      0.14668698	      0.18269236	      0.15872383	      0.17260080	      0.13650989	      0.12574029	      0.18628826	      0.16010530	      0.14177480	      0.11694474	      0.10747368	      0.14609489	      0.16111274	      0.14073325	      0.14880172	      0.09400954	      0.17627928	      0.15141801	      0.14138360	      0.12693340	      0.11188673	      0.18697303	      0.21072267	      0.24270328	      0.28439438	      0.24386446	      0.21778581	      0.19118365	      0.15774341	      0.17496819	      0.13287092	      0.14737831	      0.17329790	      0.18691195	      0.18182866	      0.18590576	      0.19057567	      0.10696570	      0.12421435	      0.10133483	      0.11290533	      0.03645664	      0.02957752	      0.02854742	      0.15568863	      0.08448002	      0.12985362	      0.17741247	      0.15769326	      0.14811699	      0.13170839	      0.08550836	      0.08201211	      0.07333997	      0.18108690	      0.19403229	      0.19988277	      0.20031363	      0.19661644	      0.18671304	      0.15173368	      0.12387044	      0.10536941	      0.05526083	      0.03915916	      0.06591535	      0.09365677	      0.10604492	      0.10765297	      0.10860810	      0.13263230	      0.12821114	      0.08626206	      0.10598699	      0.02025317	      0.01832297	      0.01801573	      0.01750620	      0.01818774	      0.09077720	      0.09551768	      0.10885376	      0.08562894	      0.10554621	      0.12682941	      0.11909487	      0.09670238	      0.10245407	      0.11802858	      0.07812987	      0.18154991	      0.16646849	      0.15332587	      0.18156459	      0.17414167	      0.16338418	      0.14127486	      0.12918948	      0.11500424	      0.12178614	      0.10827834	      0.11509272	      0.12604673	      0.23180652	      0.23450367	      0.23869615	      0.19891707	      0.19432211	      0.30916730	      0.30747337	      0.30970202	      0.30747337	      0.15528518	      0.17906351	      0.06398967	      0.10284076	      0.14612435
      5.00000000	      0.05000000	      0.01918128	      0.01834493	      0.02173414	      0.04811476	      0.03259464	      0.33895683	      0.36044136	      0.18411167	      0.17554773	      0.14108859	      0.13827840	      0.10550686	      0.09313155	      0.09092574	      0.31997704	      0.30557584	      0.29108804	      0.16447110	      0.17942518	      0.19349411	      0.14663648	      0.18267638	      0.15869255	      0.17257766	      0.13640582	      0.12561011	      0.18649731	      0.16023064	      0.14182025	      0.11696833	      0.10742606	      0.14609097	      0.16109974	      0.14068163	      0.14872943	      0.09397656	      0.17624085	      0.15137302	      0.14131156	      0.12684514	      0.11180512	      0.18706349	      0.21085327	      0.24283409	      0.28449512	      0.24395538	      0.21788932	      0.19121626	      0.15777031	      0.17494267	      0.13283952	      0.14747358	      0.17339344	      0.18700994	      0.18190074	      0.18594187	      0.19060630	      0.10700159	      0.12425871	      0.10139830	      0.11295918	      0.03645664	      0.02957752	      0.02854742	      0.15569066	      0.08448002	      0.12983964	      0.17740232	      0.15768464	      0.14809752	      0.13168122	      0.08560984	      0.08211788	      0.07344789	      0.18117111	      0.19412360	      0.19997941	      0.20041254	      0.19671314	      0.18679967	      0.15181571	      0.12396161	      0.10546953	      0.05535568	      0.03928089	      0.06591123	      0.09366876	      0.10601380	      0.10765982	      0.10860834	      0.13266098	      0.12823831	      0.08629031	      0.10602107	      0.02025317	      0.01832297	      0.01801573	      0.01750620	      0.01818774	      0.09067441	      0.09541384	      0.10877486	      0.08555031	      0.10584892	      0.12720828	      0.11943522	      0.09693634	      0.10250400	      0.11805858	      0.07815606	      0.18149885	      0.16640180	      0.15327953	      0.18152610	      0.17407505	      0.16332564	      0.14122259	      0.12913928	      0.11494925	      0.12172062	      0.10820166	      0.11502065	      0.12599372	      0.23179748	      0.23449445	      0.23868827	      0.19890924	      0.19431428	      0.30934856	      0.30759707	      0.30982924	      0.30759707	      0.15527720	      0.17905543	      0.06398238	      0.10283269	      0.14611625
      6.00000000	      0.06000000	      0.01917734	      0.01834131	      0.02172974	      0.04811319	      0.03259238	      0.33894176	      0.36042263	      0.18411700	      0.17555362	      0.14109485	      0.13828362	      0.10551249	      0.09313716	      0.09093065	      0.31998865	      0.30558366	      0.29109601	      0.16444781	      0.17942566	      0.19346584	      0.14658236	      0.18265974	      0.15865950	      0.17255300	      0.13629088	      0.12546649	      0.18672272	      0.16036536	      0.14186793	      0.11699205	      0.10737216	      0.14608502	      0.16108446	      0.14062419	      0.14864916	      0.09393535	      0.17619559	      0.15132024	      0.14122926	      0.12674584	      0.11171130	      0.18722245	      0.21105626	      0.24303295	      0.28465202	      0.24409072	      0.21803412	      0.19124156	      0.15778860	      0.17491591	      0.13280706	      0.14758477	      0.17350700	      0.18712816	      0.18198761	      0.18598919	      0.19064723	      0.10703104	      0.12429761	      0.10145225	      0.11300763	      0.03645664	      0.02957752	      0.02854742	      0.15569303	      0.08448002	      0.12982180	      0.17739195	      0.15767692	      0.14808138	      0.13166098	      0.08568214	      0.08219440	      0.07352704	      0.18120064	      0.19416032	      0.20002293	      0.20046156	      0.19676484	      0.18684929	      0.15186724	      0.12402330	      0.10554003	      0.05546728	      0.03941896	      0.06591447	      0.09368487	      0.10598839	      0.10767844	      0.10861943	      0.13270494	      0.12828008	      0.08633332	      0.10606913	      0.02025317	      0.01832297	      0.01801573	      0.01750620	      0.01818774	      0.09056068	      0.09529746	      0.10869413	      0.08547028	      0.10618401	      0.12762624	      0.11981103	      0.09719728	      0.10255322	      0.11808590	      0.07817929	      0.18145261	      0.16634353	      0.15322630	      0.18147990	      0.17401422	      0.16326977	      0.14117092	      0.12908868	      0.11489444	      0.12165549	      0.10812714	      0.11494750	      0.12593466	      0.23178692	      0.23448369	      0.23867908	      0.19890010	      0.19430516	      0.30954436	      0.30773015	      0.30996647	      0.30773015	      0.15526787	      0.17904600	      0.06397388	      0.10282327	      0.14610680
      7.00000000	      0.07000000	      0.01917289	      0.01833721	      0.02172478	      0.04811141	      0.03258982	      0.33892510	      0.36040639	      0.18412301	      0.17556027	      0.14110192	      0.13828950	      0.10551884	      0.09314349	      0.09093620	      0.32000175	      0.30559249	      0.29110502	      0.16442096	      0.17942418	      0.19343321	      0.14652456	      0.18264248	      0.15862474	      0.17252694	      0.13616557	      0.12531011	      0.18696344	      0.16050881	      0.14191761	      0.11701584	      0.10731224	      0.14607706	      0.16106695	      0.14056113	      0.14856119	      0.09388627	      0.17614370	      0.15125996	      0.14113711	      0.12663599	      0.11160587	      0.18744501	      0.21132678	      0.24329551	      0.28486168	      0.24426805	      0.21821823	      0.19126103	      0.15779989	      0.17488832	      0.13277379	      0.14771257	      0.17363899	      0.18726673	      0.18208955	      0.18604767	      0.19069840	      0.10705487	      0.12433176	      0.10149773	      0.11305137	      0.03645664	      0.02957752	      0.02854742	      0.15569570	      0.08448002	      0.12980164	      0.17738276	      0.15767135	      0.14806979	      0.13164863	      0.08572838	      0.08224473	      0.07358040	      0.18117982	      0.19414672	      0.20001751	      0.20046463	      0.19677518	      0.18686504	      0.15189121	      0.12405848	      0.10558401	      0.05559465	      0.03957242	      0.06592470	      0.09370502	      0.10596825	      0.10770796	      0.10864056	      0.13276314	      0.12833557	      0.08639012	      0.10613036	      0.02025317	      0.01832297	      0.01801573	      0.01750620	      0.01818774	      0.09043658	      0.09516921	      0.10861139	      0.08538867	      0.10654975	      0.12808116	      0.12022029	      0.09748378	      0.10260173	      0.11811061	      0.07819968	      0.18141066	      0.16629289	      0.15316729	      0.18142717	      0.17395890	      0.16321680	      0.14112047	      0.12903849	      0.11484062	      0.12159164	      0.10805537	      0.11487424	      0.12587058	      0.23177500	      0.23447155	      0.23866869	      0.19888978	      0.19429485	      0.30975412	      0.30787229	      0.31011333	      0.30787229	      0.15525734	      0.17903535	      0.06396427	      0.10281263	      0.14609612
      8.00000000	      0.08000000	      0.01916798	      0.01833270	      0.02171930	      0.04810946	      0.03258701	      0.33890672	      0.36039219	      0.18412963	      0.17556760	      0.14110971	      0.13829599	      0.10552585	      0.09315048	      0.09094231	      0.32001617	      0.30560223	      0.29111495	      0.16439064	      0.17942078	      0.19339634	      0.14646307	      0.18262465	      0.15858835	      0.17249959	      0.13603036	      0.12514163	      0.18721845	      0.16066033	      0.14196908	      0.11703964	      0.10724654	      0.14606710	      0.16104724	      0.14049266	      0.14846582	      0.09382962	      0.17608535	      0.15119240	      0.14103551	      0.12651605	      0.11148939	      0.18772652	      0.21166022	      0.24361765	      0.28512088	      0.24448514	      0.21843986	      0.19127607	      0.15780572	      0.17486030	      0.13274001	      0.14785776	      0.17378986	      0.18742583	      0.18220688	      0.18611734	      0.19075976	      0.10707391	      0.12436185	      0.10153580	      0.11309111	      0.03645664	      0.02957752	      0.02854742	      0.15569864	      0.08448002	      0.12978066	      0.17737608	      0.15766914	      0.14806393	      0.13164511	      0.08575152	      0.08227182	      0.07361082	      0.18111269	      0.19408680	      0.19996705	      0.20042548	      0.19674758	      0.18684993	      0.15189047	      0.12407006	      0.10560443	      0.05573687	      0.03974036	      0.06594157	      0.09372912	      0.10595297	      0.10774752	      0.10867093	      0.13283458	      0.12840390	      0.08645983	      0.10620404	      0.02025317	      0.01832297	      0.01801573	      0.01750620	      0.01818774	      0.09030262	      0.09502976	      0.10852649	      0.08530529	      0.10694446	      0.12857091	      0.12066104	      0.09779444	      0.10264949	      0.11813276	      0.07821736	      0.18137247	      0.16624914	      0.15310353	      0.18136901	      0.17390885	      0.16316690	      0.14107178	      0.12898947	      0.11478852	      0.12152987	      0.10798688	      0.11480173	      0.12580243	      0.23176185	      0.23445815	      0.23865723	      0.19887840	      0.19428348	      0.30997726	      0.30802317	      0.31026947	      0.30802317	      0.15524573	      0.17902360	      0.06395367	      0.10280089	      0.14608434
      9.00000000	      0.09000000	      0.01916266	      0.01832781	      0.02171336	      0.04810734	      0.03258396	      0.33888652	      0.36037957	      0.18413680	      0.17557555	      0.14111815	      0.13830302	      0.10553344	      0.09315805	      0.09094894	      0.32003178	      0.30561279	      0.29112572	      0.16435695	      0.17941551	      0.19335538	      0.14639785	      0.18260626	      0.15855037	      0.17247106	      0.13588572	      0.12496171	      0.18748672	      0.16081926	      0.14202209	      0.11706337	      0.10717531	      0.14605515	      0.16102535	      0.14041899	      0.14836334	      0.09376570	      0.17602071	      0.15111778	      0.14092482	      0.12638646	      0.11136239	      0.18806257	      0.21205220	      0.24399544	      0.28542658	      0.24473989	      0.21869734	      0.19128807	      0.15780760	      0.17483225	      0.13270598	      0.14802109	      0.17396007	      0.18760565	      0.18233989	      0.18619820	      0.19083127	      0.10708892	      0.12438854	      0.10156742	      0.11312752	      0.03645664	      0.02957752	      0.02854742	      0.15570183	      0.08448002	      0.12976029	      0.17737325	      0.15767150	      0.14806498	      0.13165141	      0.08575439	      0.08227842	      0.07362101	      0.18100298	      0.19398428	      0.19987519	      0.20034757	      0.19668525	      0.18680674	      0.15186762	      0.12406078	      0.10560409	      0.05589302	      0.03992189	      0.06596477	      0.09375712	      0.10594214	      0.10779631	      0.10870981	      0.13291830	      0.12848424	      0.08654157	      0.10628945	      0.02025317	      0.01832297	      0.01801573	      0.01750620	      0.01818774	      0.09015933	      0.09487974	      0.10843927	      0.08521998	      0.10736651	      0.12909346	      0.12113137	      0.09812793	      0.10269649	      0.11815241	      0.07823243	      0.18133757	      0.16621157	      0.15303593	      0.18130640	      0.17386379	      0.16312025	      0.14102539	      0.12894235	      0.11473885	      0.12147095	      0.10792213	      0.11473074	      0.12573106	      0.23174760	      0.23444363	      0.23864482	      0.19886606	      0.19427116	      0.31021321	      0.30818249	      0.31043453	      0.30818249	      0.15523313	      0.17901086	      0.06394219	      0.10278816	      0.14607157
