UNKNOWN
version=1
nRows=151
nColumns=139
inDegrees=no
endheader
time	simulation	anconeus_1	anconeus_2	anconeus_3	anconeus_4	anconeus_5	bic_b_1	bic_l	brachialis_1	brachialis_2	brachialis_3	brachialis_4	brachialis_5	brachialis_6	brachialis_7	brachiorad_1	brachiorad_2	brachiorad_3	coracobr_1	coracobr_2	coracobr_3	delt_clav_1	delt_clav_2	delt_clav_3	delt_clav_4	delt_scap10	delt_scap11	delt_scap_1	delt_scap_2	delt_scap_3	delt_scap_4	delt_scap_5	delt_scap_6	delt_scap_7	delt_scap_8	delt_scap_9	infra_1	infra_2	infra_3	infra_4	infra_5	infra_6	lat_dorsi_1	lat_dorsi_2	lat_dorsi_3	lat_dorsi_4	lat_dorsi_5	lat_dorsi_6	lev_scap_1	lev_scap_2	pect_maj_c_1	pect_maj_c_2	pect_maj_t_1	pect_maj_t_2	pect_maj_t_3	pect_maj_t_4	pect_maj_t_5	pect_maj_t_6	pect_min_1	pect_min_2	pect_min_3	pect_min_4	pron_quad_1	pron_quad_2	pron_quad_3	pron_teres_1	pron_teres_2	rhomboid_1	rhomboid_2	rhomboid_3	rhomboid_4	rhomboid_5	serr_ant10	serr_ant11	serr_ant12	serr_ant_1	serr_ant_2	serr_ant_3	serr_ant_4	serr_ant_5	serr_ant_6	serr_ant_7	serr_ant_8	serr_ant_9	subscap10	subscap11	subscap_1	subscap_2	subscap_3	subscap_4	subscap_5	subscap_6	subscap_7	subscap_8	subscap_9	supinator_1	supinator_2	supinator_3	supinator_4	supinator_5	supra_1	supra_2	supra_3	supra_4	ter_maj_1	ter_maj_2	ter_maj_3	ter_maj_4	ter_min_1	ter_min_2	ter_min_3	trap_clav_1	trap_clav_2	trap_scap10	trap_scap11	trap_scap_1	trap_scap_2	trap_scap_3	trap_scap_4	trap_scap_5	trap_scap_6	trap_scap_7	trap_scap_8	trap_scap_9	tric_lat_1	tric_lat_2	tric_lat_3	tric_lat_4	tric_lat_5	tric_long_1	tric_long_2	tric_long_3	tric_long_4	tric_med_1	tric_med_2	tric_med_3	tric_med_4	tric_med_5
      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.01708554	      0.02222970	      0.02168538	      0.02259355	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.01568642	      0.01046436	      0.00739478	      0.00531748	      0.00149957	      0.00144739	     -0.05140317	     -0.05786249	      0.04529947	      0.03854315	      0.04886208	      0.05520313	      0.05814352	      0.05513435	      0.05001134	      0.05013935	     -0.01328542	     -0.01865164	     -0.02465596	     -0.01492727	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.06822090	     -0.04840946	     -0.04465398	     -0.04594156	     -0.04118416	             nan	     -0.06399211	     -0.06391355	     -0.01252694	     -0.01181759	     -0.01178908	     -0.01275010	     -0.01463463	     -0.01851773	     -0.03287326	     -0.04683102	     -0.05743940	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.03666865	     -0.03302212	     -0.02443882	     -0.04237243	     -0.05468868	     -0.06176413	     -0.06096800	     -0.06463439	     -0.05336723	     -0.05598836	     -0.04270137	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000
      1.00000000	      0.01000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.01712404	      0.02227014	      0.02171804	      0.02263459	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.01565998	      0.01043615	      0.00736738	      0.00528687	      0.00147939	      0.00142532	     -0.05153387	     -0.05800194	      0.04535383	      0.03855155	      0.04888029	      0.05523433	      0.05818404	      0.05515849	      0.05001924	      0.05016348	     -0.01344048	     -0.01878033	     -0.02478452	     -0.01506187	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.06845740	     -0.04865068	     -0.04491309	     -0.04623527	     -0.04151910	             nan	     -0.06400152	     -0.06391446	     -0.01246366	     -0.01176060	     -0.01174129	     -0.01272156	     -0.01463464	     -0.01855613	     -0.03293192	     -0.04689524	     -0.05748403	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.03673241	     -0.03305325	     -0.02445962	     -0.04241636	     -0.05477914	     -0.06188733	     -0.06112910	     -0.06476315	     -0.05352913	     -0.05610867	     -0.04281048	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000
      2.00000000	      0.02000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.01717574	      0.02232665	      0.02176521	      0.02269202	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.01564020	      0.01041468	      0.00734745	      0.00526551	      0.00146881	      0.00141644	     -0.05164376	     -0.05811867	      0.04544385	      0.03859044	      0.04894005	      0.05530830	      0.05826754	      0.05522471	      0.05006325	      0.05022369	     -0.01356205	     -0.01887789	     -0.02488177	     -0.01516440	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.06864536	     -0.04884250	     -0.04511676	     -0.04646488	     -0.04177868	             nan	     -0.06400663	     -0.06391291	     -0.01241150	     -0.01171343	     -0.01170170	     -0.01269728	     -0.01463274	     -0.01858504	     -0.03297813	     -0.04694485	     -0.05751757	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.03677542	     -0.03307269	     -0.02447582	     -0.04245078	     -0.05485074	     -0.06198493	     -0.06125682	     -0.06486593	     -0.05365511	     -0.05620232	     -0.04288786	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000
      3.00000000	      0.03000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.01723980	      0.02239839	      0.02182607	      0.02276498	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01562659	      0.01039958	      0.00733461	      0.00525279	      0.00146739	      0.00142013	     -0.05173477	     -0.05821487	      0.04556754	      0.03865803	      0.04903891	      0.05542248	      0.05839143	      0.05533046	      0.05014115	      0.05031777	     -0.01365323	     -0.01894714	     -0.02495051	     -0.01523764	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.06878968	     -0.04899010	     -0.04527088	     -0.04663719	     -0.04197092	             nan	     -0.06400835	     -0.06390955	     -0.01237068	     -0.01167641	     -0.01167077	     -0.01267802	     -0.01463023	     -0.01860639	     -0.03301397	     -0.04698207	     -0.05754180	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.03680051	     -0.03308230	     -0.02448792	     -0.04247668	     -0.05490543	     -0.06205956	     -0.06135458	     -0.06494546	     -0.05374902	     -0.05627242	     -0.04293742	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000
      4.00000000	      0.04000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.01731540	      0.02248454	      0.02189981	      0.02285267	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.01561869	      0.01039044	      0.00732846	      0.00524814	      0.00147472	      0.00143586	     -0.05180873	     -0.05829253	      0.04572300	      0.03875258	      0.04917441	      0.05557432	      0.05855314	      0.05547324	      0.05025073	      0.05044359	     -0.01371686	     -0.01899065	     -0.02499327	     -0.01528409	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.06889486	     -0.04909818	     -0.04538081	     -0.04675843	     -0.04210317	             nan	     -0.06400736	     -0.06390487	     -0.01234104	     -0.01164949	     -0.01164854	     -0.01266415	     -0.01462801	     -0.01862168	     -0.03304110	     -0.04700874	     -0.05755811	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.03681019	     -0.03308371	     -0.02449634	     -0.04249497	     -0.05494498	     -0.06211361	     -0.06142549	     -0.06500424	     -0.05381438	     -0.05632180	     -0.04296267	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000
      5.00000000	      0.05000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.01740172	      0.02258429	      0.02198565	      0.02295428	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.01561605	      0.01038691	      0.00732866	      0.00525103	      0.00149046	      0.00146314	     -0.05186732	     -0.05835353	      0.04590834	      0.03887237	      0.04934410	      0.05576129	      0.05875011	      0.05565053	      0.05038985	      0.05059902	     -0.01375557	     -0.01901081	     -0.02501238	     -0.01530611	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.06896502	     -0.04917110	     -0.04545149	     -0.04683431	     -0.04218219	             nan	     -0.06400419	     -0.06389918	     -0.01232214	     -0.01163235	     -0.01163481	     -0.01265580	     -0.01462668	     -0.01863214	     -0.03306091	     -0.04702638	     -0.05756768	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.03680671	     -0.03307835	     -0.02450150	     -0.04250648	     -0.05497103	     -0.06214930	     -0.06147243	     -0.06504453	     -0.05385444	     -0.05635298	     -0.04296681	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000
      6.00000000	      0.06000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.01749792	      0.02269689	      0.02208283	      0.02306903	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.01561819	      0.01038860	      0.00733483	      0.00526094	      0.00151431	      0.00150153	     -0.05191210	     -0.05839960	      0.04612175	      0.03901575	      0.04954556	      0.05598091	      0.05897984	      0.05585990	      0.05055639	      0.05078201	     -0.01377180	     -0.01900982	     -0.02500993	     -0.01530581	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.06900394	     -0.04921286	     -0.04548748	     -0.04687009	     -0.04221422	             nan	     -0.06399918	     -0.06389267	     -0.01231340	     -0.01162450	     -0.01162923	     -0.01265288	     -0.01462665	     -0.01863870	     -0.03307455	     -0.04703626	     -0.05757143	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.03679209	     -0.03306749	     -0.02450376	     -0.04251195	     -0.05498506	     -0.06216862	     -0.06149804	     -0.06506839	     -0.05387215	     -0.05636828	     -0.04295273	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000
      7.00000000	      0.07000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.01760320	      0.02282157	      0.02219058	      0.02319618	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.01562468	      0.01039514	      0.00734664	      0.00527737	      0.00154599	      0.00155063	     -0.05194455	     -0.05843234	      0.04636148	      0.03918111	      0.04977638	      0.05623072	      0.05923988	      0.05609897	      0.05074829	      0.05099055	     -0.01376780	     -0.01898972	     -0.02498786	     -0.01528517	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.06901512	     -0.04922718	     -0.04549298	     -0.04687062	     -0.04220498	             nan	     -0.06399262	     -0.06388545	     -0.01231413	     -0.01162535	     -0.01163128	     -0.01265520	     -0.01462815	     -0.01864216	     -0.03308295	     -0.04703943	     -0.05757013	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.03676817	     -0.03305225	     -0.02450347	     -0.04251208	     -0.05498844	     -0.06217344	     -0.06150475	     -0.06507770	     -0.05387027	     -0.05636978	     -0.04292307	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      8.00000000	      0.08000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.01771674	      0.02295763	      0.02230818	      0.02333500	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.01563506	      0.01040619	      0.00736375	      0.00529986	      0.00158526	      0.00161003	     -0.05196602	     -0.05845322	      0.04662583	      0.03936691	      0.05003423	      0.05650833	      0.05952781	      0.05636538	      0.05096354	      0.05122267	     -0.01374567	     -0.01895242	     -0.02494796	     -0.01524602	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.06900177	     -0.04921744	     -0.04547187	     -0.04684036	     -0.04215978	             nan	     -0.06398466	     -0.06387754	     -0.01232358	     -0.01163422	     -0.01164045	     -0.01266249	     -0.01463133	     -0.01864315	     -0.03308693	     -0.04703682	     -0.05756440	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.03673660	     -0.03303365	     -0.02450093	     -0.04250750	     -0.05498244	     -0.06216545	     -0.06149481	     -0.06507420	     -0.05385133	     -0.05635943	     -0.04288028	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000
      9.00000000	      0.09000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.01783775	      0.02310434	      0.02243491	      0.02348478	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.01564892	      0.01042137	      0.00738583	      0.00532795	      0.00163186	      0.00167937	     -0.05197776	     -0.05846361	      0.04691313	      0.03957162	      0.05031677	      0.05681137	      0.05984129	      0.05665686	      0.05120020	      0.05147650	     -0.01370735	     -0.01889967	     -0.02489188	     -0.01519003	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.06896685	     -0.04918682	     -0.04542773	     -0.04678347	     -0.04208355	             nan	     -0.06397543	     -0.06386893	     -0.01234099	     -0.01165046	     -0.01165614	     -0.01267442	     -0.01463626	     -0.01864221	     -0.03308718	     -0.04702918	     -0.05755478	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.03669890	     -0.03301258	     -0.02449643	     -0.04249882	     -0.05496822	     -0.06214625	     -0.06147030	     -0.06505950	     -0.05381769	     -0.05633901	     -0.04282658	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000
