UNKNOWN
version=1
nRows=151
nColumns=139
inDegrees=no
endheader
time	simulation	anconeus_1	anconeus_2	anconeus_3	anconeus_4	anconeus_5	bic_b_1	bic_l	brachialis_1	brachialis_2	brachialis_3	brachialis_4	brachialis_5	brachialis_6	brachialis_7	brachiorad_1	brachiorad_2	brachiorad_3	coracobr_1	coracobr_2	coracobr_3	delt_clav_1	delt_clav_2	delt_clav_3	delt_clav_4	delt_scap10	delt_scap11	delt_scap_1	delt_scap_2	delt_scap_3	delt_scap_4	delt_scap_5	delt_scap_6	delt_scap_7	delt_scap_8	delt_scap_9	infra_1	infra_2	infra_3	infra_4	infra_5	infra_6	lat_dorsi_1	lat_dorsi_2	lat_dorsi_3	lat_dorsi_4	lat_dorsi_5	lat_dorsi_6	lev_scap_1	lev_scap_2	pect_maj_c_1	pect_maj_c_2	pect_maj_t_1	pect_maj_t_2	pect_maj_t_3	pect_maj_t_4	pect_maj_t_5	pect_maj_t_6	pect_min_1	pect_min_2	pect_min_3	pect_min_4	pron_quad_1	pron_quad_2	pron_quad_3	pron_teres_1	pron_teres_2	rhomboid_1	rhomboid_2	rhomboid_3	rhomboid_4	rhomboid_5	serr_ant10	serr_ant11	serr_ant12	serr_ant_1	serr_ant_2	serr_ant_3	serr_ant_4	serr_ant_5	serr_ant_6	serr_ant_7	serr_ant_8	serr_ant_9	subscap10	subscap11	subscap_1	subscap_2	subscap_3	subscap_4	subscap_5	subscap_6	subscap_7	subscap_8	subscap_9	supinator_1	supinator_2	supinator_3	supinator_4	supinator_5	supra_1	supra_2	supra_3	supra_4	ter_maj_1	ter_maj_2	ter_maj_3	ter_maj_4	ter_min_1	ter_min_2	ter_min_3	trap_clav_1	trap_clav_2	trap_scap10	trap_scap11	trap_scap_1	trap_scap_2	trap_scap_3	trap_scap_4	trap_scap_5	trap_scap_6	trap_scap_7	trap_scap_8	trap_scap_9	tric_lat_1	tric_lat_2	tric_lat_3	tric_lat_4	tric_lat_5	tric_long_1	tric_long_2	tric_long_3	tric_long_4	tric_med_1	tric_med_2	tric_med_3	tric_med_4	tric_med_5
      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00459379	      0.00985094	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00277789	     -0.00262639	      0.00334738	      0.00733287	     -0.00003514	      0.00319138	     -0.00072797	      0.02364421	      0.02925494	     -0.04973999	     -0.02983659	     -0.01108679	     -0.00602784	      0.01044942	      0.00055968	      0.00299878	      0.01180544	      0.01640381	      0.00473009	      0.00700851	      0.00832881	      0.01458933	      0.01877501	      0.01625111	     -0.03939393	     -0.04447247	     -0.04046739	     -0.02916845	     -0.02213173	     -0.02318628	      0.00000000	      0.00000000	     -0.00397070	      0.00029364	     -0.01763845	     -0.02067749	     -0.02396734	     -0.01713505	     -0.01172655	     -0.01301205	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.01731533	     -0.02514783	      0.00516516	     -0.00106747	      0.01183275	      0.00450188	      0.00590078	      0.00036996	      0.00048138	      0.00022793	     -0.00178258	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.02291572	      0.02228242	      0.02108733	      0.02127017	     -0.06725358	     -0.08505103	     -0.07604611	     -0.05080557	     -0.01442618	     -0.00990739	     -0.00902536	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.04447676	     -0.03144719	     -0.03186261	     -0.03144719	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000
      1.00000000	      0.01000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00461165	      0.00978562	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00279769	     -0.00261856	      0.00336658	      0.00749869	      0.00011069	      0.00332541	     -0.00058827	      0.02367720	      0.02926140	     -0.04961560	     -0.02973338	     -0.01100724	     -0.00597163	      0.01050229	      0.00063006	      0.00305935	      0.01186728	      0.01645798	      0.00477270	      0.00705778	      0.00837633	      0.01463226	      0.01881364	      0.01629158	     -0.03939635	     -0.04448712	     -0.04048777	     -0.02918320	     -0.02214553	     -0.02319613	      0.00000000	      0.00000000	     -0.00379901	      0.00041281	     -0.01753978	     -0.02057131	     -0.02385017	     -0.01702043	     -0.01161312	     -0.01287583	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.01733548	     -0.02515958	      0.00508839	     -0.00115305	      0.01179703	      0.00450200	      0.00591445	      0.00038439	      0.00049145	      0.00023442	     -0.00178644	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.02292075	      0.02229067	      0.02108564	      0.02126460	     -0.06725670	     -0.08502482	     -0.07600657	     -0.05082285	     -0.01437996	     -0.00985480	     -0.00898021	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.04448614	     -0.03147379	     -0.03187687	     -0.03147379	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000
      2.00000000	      0.02000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00465051	      0.00973465	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00283508	     -0.00259455	      0.00340533	      0.00768715	      0.00027416	      0.00347489	     -0.00043386	      0.02371214	      0.02927021	     -0.04947481	     -0.02961908	     -0.01092391	     -0.00591609	      0.01055555	      0.00070099	      0.00311903	      0.01193022	      0.01651535	      0.00482517	      0.00711905	      0.00843532	      0.01468469	      0.01885825	      0.01633809	     -0.03939481	     -0.04451596	     -0.04053535	     -0.02923385	     -0.02220533	     -0.02326451	      0.00000000	      0.00000000	     -0.00361831	      0.00054325	     -0.01750125	     -0.02050884	     -0.02376570	     -0.01693025	     -0.01150103	     -0.01273503	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.01736227	     -0.02517107	      0.00500335	     -0.00124708	      0.01175977	      0.00450141	      0.00592745	      0.00039190	      0.00048906	      0.00023046	     -0.00180601	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.02292399	      0.02229721	      0.02109222	      0.02126666	     -0.06726111	     -0.08499304	     -0.07596101	     -0.05084580	     -0.01432289	     -0.00979007	     -0.00892618	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.04450078	     -0.03150294	     -0.03189578	     -0.03150294	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000
      3.00000000	      0.03000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00470851	      0.00969684	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00288852	     -0.00255587	      0.00346191	      0.00789706	      0.00045455	      0.00363918	     -0.00026532	      0.02374916	      0.02928125	     -0.04931803	     -0.02949373	     -0.01083635	     -0.00586055	      0.01060969	      0.00077310	      0.00317855	      0.01199474	      0.01657612	      0.00488697	      0.00719165	      0.00850513	      0.01474607	      0.01890852	      0.01639034	     -0.03938934	     -0.04455787	     -0.04060824	     -0.02931798	     -0.02230816	     -0.02338773	      0.00000000	      0.00000000	     -0.00342891	      0.00068441	     -0.01751894	     -0.02048714	     -0.02371164	     -0.01686277	     -0.01138997	     -0.01258968	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.01739501	     -0.02518208	      0.00491032	     -0.00134928	      0.01172099	      0.00450031	      0.00594003	      0.00039323	      0.00047529	      0.00021699	     -0.00184004	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.02292565	      0.02230220	      0.02110650	      0.02127586	     -0.06726625	     -0.08495554	     -0.07590919	     -0.05087362	     -0.01425552	     -0.00971384	     -0.00886369	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.04452003	     -0.03153447	     -0.03191884	     -0.03153447	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000
      4.00000000	      0.04000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00478384	      0.00967107	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00295657	     -0.00250396	      0.00353467	      0.00812721	      0.00065113	      0.00381762	     -0.00008324	      0.02378832	      0.02929441	     -0.04914565	     -0.02935738	     -0.01074416	     -0.00580439	      0.01066512	      0.00084701	      0.00323854	      0.01206121	      0.01664044	      0.00495752	      0.00727492	      0.00858514	      0.01481587	      0.01896411	      0.01644799	     -0.03937987	     -0.04461166	     -0.04070452	     -0.02943319	     -0.02245114	     -0.02356217	      0.00000000	      0.00000000	     -0.00323115	      0.00083574	     -0.01758907	     -0.02050338	     -0.02368575	     -0.01681632	     -0.01127968	     -0.01243983	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.01743295	     -0.02519235	      0.00480965	     -0.00145932	      0.01168073	      0.00449892	      0.00595247	      0.00038912	      0.00045122	      0.00019496	     -0.00188727	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.02292583	      0.02230576	      0.02112794	      0.02129167	     -0.06727152	     -0.08491209	     -0.07585088	     -0.05090548	     -0.01417839	     -0.00962669	     -0.00879315	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.04454322	     -0.03156818	     -0.03194555	     -0.03156818	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000
      5.00000000	      0.05000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00487482	      0.00965628	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00303787	     -0.00244017	      0.00362204	      0.00837638	      0.00086320	      0.00400953	      0.00011178	      0.02382968	      0.02930956	     -0.04895806	     -0.02921009	     -0.01064697	     -0.00574705	      0.01072222	      0.00092325	      0.00329960	      0.01212997	      0.01670841	      0.00503630	      0.00736823	      0.00867473	      0.01489354	      0.01902466	      0.01651067	     -0.03936625	     -0.04467606	     -0.04082221	     -0.02957710	     -0.02263142	     -0.02378427	      0.00000000	      0.00000000	     -0.00302538	      0.00099667	     -0.01770796	     -0.02055482	     -0.02368590	     -0.01678928	     -0.01116989	     -0.01228553	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.01747535	     -0.02520160	      0.00470174	     -0.00157681	      0.01163907	      0.00449749	      0.00596510	      0.00038034	      0.00041793	      0.00016531	     -0.00194649	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.02292462	      0.02230796	      0.02115603	      0.02131360	     -0.06727632	     -0.08486246	     -0.07578581	     -0.05094052	     -0.01409203	     -0.00952920	     -0.00871494	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.04456972	     -0.03160390	     -0.03197544	     -0.03160390	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000
      6.00000000	      0.06000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00497983	      0.00965147	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00313110	     -0.00236577	      0.00372255	      0.00864333	      0.00109004	      0.00421426	      0.00031913	      0.02387327	      0.02932657	     -0.04875567	     -0.02905196	     -0.01054446	     -0.00568802	      0.01078133	      0.00100230	      0.00336225	      0.01220133	      0.01678009	      0.00512275	      0.00747096	      0.00877329	      0.01497854	      0.01908977	      0.01657801	     -0.03934825	     -0.04474976	     -0.04095935	     -0.02974733	     -0.02284621	     -0.02405056	      0.00000000	      0.00000000	     -0.00281195	      0.00116664	     -0.01787205	     -0.02063878	     -0.02370997	     -0.01678011	     -0.01106036	     -0.01212684	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.01752148	     -0.02520956	      0.00458700	     -0.00170133	      0.01159611	      0.00449631	      0.00597823	      0.00036767	      0.00037651	      0.00012901	     -0.00201647	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.02292204	      0.02230885	      0.02119023	      0.02134116	     -0.06728002	     -0.08480640	     -0.07571371	     -0.05097791	     -0.01399693	     -0.00942195	     -0.00862944	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.04459888	     -0.03164141	     -0.03200802	     -0.03164141	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000
      7.00000000	      0.07000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00509732	      0.00965571	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00323505	     -0.00228195	      0.00383480	      0.00892680	      0.00133095	      0.00443114	      0.00053824	      0.02391907	      0.02934529	     -0.04853889	     -0.02888312	     -0.01043637	     -0.00562682	      0.01084273	      0.00108460	      0.00342699	      0.01227553	      0.01685552	      0.00521636	      0.00758253	      0.00888026	      0.01507033	      0.01915908	      0.01664961	     -0.03932564	     -0.04483143	     -0.04111396	     -0.02994157	     -0.02309279	     -0.02435765	      0.00000000	      0.00000000	     -0.00259122	      0.00134510	     -0.01807790	     -0.02075268	     -0.02375595	     -0.01678727	     -0.01095085	     -0.01196379	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.01757060	     -0.02521597	      0.00446591	     -0.00183239	      0.01155199	      0.00449567	      0.00599222	      0.00035187	      0.00032800	      0.00008698	     -0.00209603	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.02291811	      0.02230844	      0.02123006	      0.02137386	     -0.06728201	     -0.08474364	     -0.07563433	     -0.05101681	     -0.01389360	     -0.00930549	     -0.00853704	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.04463010	     -0.03168050	     -0.03204284	     -0.03168050	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000
      8.00000000	      0.08000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00522586	      0.00966812	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00334855	     -0.00218987	      0.00395746	      0.00922554	      0.00158524	      0.00465948	      0.00076852	      0.02396707	      0.02936561	     -0.04830814	     -0.02870369	     -0.01032247	     -0.00556304	      0.01090664	      0.00117053	      0.00349423	      0.01235277	      0.01693467	      0.00531660	      0.00770234	      0.00899506	      0.01516839	      0.01923218	      0.01672506	     -0.03929810	     -0.04491975	     -0.04128410	     -0.03015754	     -0.02336851	     -0.02470221	      0.00000000	      0.00000000	     -0.00236351	      0.00153152	     -0.01832215	     -0.02089401	     -0.02382184	     -0.01680932	     -0.01084112	     -0.01179645	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.01762200	     -0.02522054	      0.00433893	     -0.00196953	      0.01150685	      0.00449586	      0.00600739	      0.00033367	      0.00027343	      0.00004014	     -0.00218403	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.02291281	      0.02230674	      0.02127503	      0.02141124	     -0.06728170	     -0.08467394	     -0.07554742	     -0.05105642	     -0.01378249	     -0.00918034	     -0.00843811	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.04466278	     -0.03172096	     -0.03207946	     -0.03172096	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      9.00000000	      0.09000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00536406	      0.00968786	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.00347049	     -0.00209056	      0.00408930	      0.00953828	      0.00185226	      0.00489863	      0.00100941	      0.02401722	      0.02938740	     -0.04806387	     -0.02851386	     -0.01020255	     -0.00549629	      0.01097329	      0.00126042	      0.00356436	      0.01243322	      0.01701753	      0.00542295	      0.00782984	      0.00911713	      0.01527222	      0.01930869	      0.01680395	     -0.03926535	     -0.04501340	     -0.04146784	     -0.03039304	     -0.02367079	     -0.02508104	      0.00000000	      0.00000000	     -0.00212918	      0.00172539	     -0.01860154	     -0.02106031	     -0.02390571	     -0.01684483	     -0.01073096	     -0.01162485	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	             nan	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.01767499	     -0.02522304	      0.00420656	     -0.00211224	      0.01146084	      0.00449716	      0.00602409	      0.00031381	      0.00021378	     -0.00001063	     -0.00227934	      0.00000000	      0.00000000	     -0.00000000	     -0.00000000	     -0.00000000	      0.02290612	      0.02230374	      0.02132467	      0.02145283	     -0.06727851	     -0.08459705	     -0.07545277	     -0.05109597	     -0.01366408	     -0.00904702	     -0.00833301	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000	     -0.00000000	     -0.04469636	     -0.03176257	     -0.03211743	     -0.03176257	     -0.00000000	     -0.00000000	      0.00000000	     -0.00000000	      0.00000000
